URN: ,incidentdate: ,incidentcategory: ,producttype: ,productorigincountry: ,notifiertype: 
ICID00034342,01/04/2019,Feed Additives,Feed Additives,Belgium (BE),Industry
ICID00034343,01/04/2019,Allergens,Soups / Broths / Sauces & Condiments,United Kingdom (GB),Local Authority
ICID00034344,01/04/2019,Poor or Insufficient Controls,Poultry Meat & Poultry Meat Products,United Kingdom (GB),National Food Crime Unit (NFCU)
ICID00034345,02/04/2019,Novel Food,Fats & Oils,Spain (ES),RASFF
ICID00034346,02/04/2019,Adulteration / Fraud,Soups / Broths / Sauces & Condiments,United Kingdom (GB),Local Authority
ICID00034347,02/04/2019,Novel Food,Dietetic Foods / Food Supplements / Fortified Foods,Germany (DE),RASFF
ICID00034348,02/04/2019,Composition,Food Additives & Flavourings ,Jamaica (JM),Industry
ICID00034349,02/04/2019,Labelling Absent / Incomplete / Incorrect,Confectionery,United Kingdom (GB),Industry
ICID00034350,02/04/2019,Allergens,Ices & Desserts,Netherlands (NL),Industry
ICID00034351,02/04/2019,Foreign Bodies,Confectionery,United Kingdom (GB),EU Member States
ICID00034352,02/04/2019,Foreign Bodies,Fruits & Vegetables,Italy (IT),RASFF
ICID00034354,03/04/2019,Adulteration / Fraud,Dietetic Foods / Food Supplements / Fortified Foods,Malaysia (MY),RASFF
ICID00034355,02/04/2019,Pathogenic Micro-Organisms,Poultry Meat & Poultry Meat Products,Brazil (BR),Border Inspection Posts (BIPs)
ICID00034356,03/04/2019,Poor or Insufficient Controls,Nuts / Nut Products / Seeds,China (CX),Border Inspection Posts (BIPs)
ICID00034357,02/04/2019,Migration,Food Contact Materials,China (CX),Administrative Assistance & Cooperation System (AAC)
ICID00034358,03/04/2019,CHEMET,N/A,United Kingdom (GB),Met Office
ICID00034359,03/04/2019,Allergens,Meat & Meat Products (other than poultry),United Kingdom (GB),Local Authority
ICID00034360,03/04/2019,CHEMET,N/A,United Kingdom (GB),Met Office
ICID00034361,03/04/2019,Allergens,Herbs & Spices,Pakistan (PK),Local Authority
ICID00034362,03/04/2019,Allergens,Nuts / Nut Products / Seeds,United Kingdom (GB),Industry
ICID00034363,03/04/2019,Novel Food,Confectionery,United States (US),RASFF
ICID00034364,03/04/2019,Foreign Bodies,Cocoa / Cocoa Preparations / Coffee / Tea,Switzerland (CH),Third Country
ICID00034365,03/04/2019,Novel Food,Confectionery,Netherlands (NL),Local Authority
ICID00034366,03/04/2019,Labelling Absent / Incomplete / Incorrect,Feed Materials,United Kingdom (GB),EU Member States
ICID00034367,03/04/2019,Migration,Soups / Broths / Sauces & Condiments,Pakistan (PK),EU Member States
ICID00034368,04/04/2019,Pathogenic Micro-Organisms,N/A,United Kingdom (GB),Animal & Plant Health Agency (APHA)
ICID00034369,04/04/2019,Residues of Veterinary Medicinal Products,Meat & Meat Products (other than poultry),United Kingdom (GB),Veterinary Medicines Directorate
ICID00034370,04/04/2019,Poor or Insufficient Controls,Prepared Dishes & Snacks,United Kingdom (GB),Industry
