UniqueReferenceNumber(URN),IncidentDate,IncidentCategory,ProductType,ProductOriginCountry,NotifierType
ICID00029550,2017-04-01,Clandestine Detection,Milk & Milk Products,Poland (PL),Home Office/Border Force
ICID00029552,2017-04-02,Clandestine Detection,Fruits & Vegetables,Spain (ES),Police
ICID00029553,2017-04-03,Clandestine Detection,Confectionery,Romania (RO),Home Office/Border Force
ICID00029554,2017-04-03,CHEMET,N/A,United Kingdom (GB),Fire Services
ICID00029555,2017-04-03,Foreign Bodies,Prepared Dishes & Snacks,Italy (IT),Local Authority
ICID00029558,2017-04-03,Foreign Bodies,Fruits & Vegetables,United Kingdom (GB),FSA Operations Group
ICID00029559,2017-04-03,Migration,Food Contact Materials,United Kingdom  (GB),RASFF
ICID00029560,2017-04-03,Allergens,Fish & Fish Products,United Kingdom (GB),Industry
ICID00029562,2017-04-04,Pathogenic Micro-Organisms,Milk & Milk Products,China (CX),Border Inspection Posts (BIPs)
ICID00029563,2017-04-03,Mycotoxins,Nuts/Nut Products/Seeds,India (IN),Port Health Authority (PHA)
ICID00029564,2017-04-03,Mycotoxins,Nuts/Nut Products/Seeds,India (IN),Port Health Authority (PHA)
ICID00029565,2017-04-04,Clandestine Detection,Fruits & Vegetables,Spain (ES),Home Office/Border Force
ICID00029566,2017-04-04,Mycotoxins,Herbs & Spices,India (IN),RASFF
ICID00029567,2017-04-04,Pathogenic Micro-Organisms,Fish & Fish Products,United Kingdom (GB),General Public
ICID00029568,2017-04-04,Pesticide Residues,Fruits & Vegetables,Nigeria (NG),Port Health Authority (PHA)
ICID00029569,2017-04-04,Clandestine Detection,Other Food Product/Mixed,France (FR),Police
ICID00029571,2017-04-04,Labelling (absent / incomplete / incorrect),Milk & Milk Products,United Kingdom (GB),Administrative Assistance and Cooperation System (AAC) 
ICID00029572,2017-04-04,Composition,Dietetic Foods/Food Supplements/Fortified Foods,United Kingdom (GB),Department of Health (DH)
ICID00029575,2017-04-05,Poor or Insufficient Controls,Alcoholic Beverages,United Kingdom (GB),Industry
ICID00029576,2017-04-04,Pathogenic Micro-Organisms,Fish & Fish Products,United Kingdom (GB),RASFF
ICID00029578,2017-04-05,Poor or Insufficient Controls,Meat & Meat Products (other than poultry),Spain (ES),Industry
ICID00029579,2017-04-06,Pathogenic Micro-Organisms,Feed Materials,United Kingdom (GB),Industry
ICID00029581,2017-04-06,Allergens,Herbs & Spices,United Kingdom (GB),Local Authority
ICID00029582,2017-04-06,Mycotoxins,Nuts/Nut Products/Seeds,China (CX),Border Inspection Posts (BIPs)
ICID00029583,2017-04-06,Pathogenic Micro-Organisms,Cereals & Bakery Products,Ireland (IE),EU Member States
ICID00029584,2017-04-06,Foreign Bodies,Cereals & Bakery Products,United Kingdom (GB),Industry
ICID00029585,2017-04-06,Mycotoxins,Herbs & Spices,Nigeria (NG),RASFF
ICID00029586,2017-04-07,Pathogenic Micro-Organisms,Meat & Meat Products (other than poultry),United Kingdom (GB),Industry
ICID00029587,2017-04-07,Mycotoxins,Nuts/Nut Products/Seeds,India (IN),Border Inspection Posts (BIPs)
ICID00029588,2017-04-07,Pathogenic Micro-Organisms,Nuts/Nut Products/Seeds,India (IN),Border Inspection Posts (BIPs)
