UniqueReferenceNumber(URN) ,IncidentDate,IncidentCategory,ProductType,ProductOriginCountry ,NotifierType
ICID00034342,2019-04-01,Feed Additives,Feed Additives,Belgium (BE),Industry
ICID00034343,2019-04-01,Allergens,Soups / Broths / Sauces & Condiments,United Kingdom (GB),Local Authority
ICID00034344,2019-04-01,Poor or Insufficient Controls,Poultry Meat & Poultry Meat Products,United Kingdom (GB),National Food Crime Unit (NFCU)
ICID00034345,2019-04-02,Novel Food,Fats & Oils,Spain (ES),RASFF
ICID00034346,2019-04-02,Adulteration / Fraud,Soups / Broths / Sauces & Condiments,United Kingdom (GB),Local Authority
ICID00034347,2019-04-02,Novel Food,Dietetic Foods / Food Supplements / Fortified Foods,Germany (DE),RASFF
ICID00034348,2019-04-02,Composition,Food Additives & Flavourings ,Jamaica (JM),Industry
ICID00034349,2019-04-02,Labelling Absent / Incomplete / Incorrect,Confectionery,United Kingdom (GB),Industry
ICID00034350,2019-04-02,Allergens,Ices & Desserts,Netherlands (NL),Industry
ICID00034351,2019-04-02,Foreign Bodies,Confectionery,United Kingdom (GB),EU Member States
ICID00034352,2019-04-02,Foreign Bodies,Fruits & Vegetables,Italy (IT),RASFF
ICID00034354,2019-04-03,Adulteration / Fraud,Dietetic Foods / Food Supplements / Fortified Foods,Malaysia (MY),RASFF
ICID00034355,2019-04-02,Pathogenic Micro-Organisms,Poultry Meat & Poultry Meat Products,Brazil (BR),Border Inspection Posts (BIPs)
ICID00034356,2019-04-03,Poor or Insufficient Controls,Nuts / Nut Products / Seeds,China (CX),Border Inspection Posts (BIPs)
ICID00034357,2019-04-02,Migration,Food Contact Materials,China (CX),Administrative Assistance & Cooperation System (AAC)
ICID00034358,2019-04-03,CHEMET,N/A,United Kingdom (GB),Met Office
ICID00034359,2019-04-03,Allergens,Meat & Meat Products (other than poultry),United Kingdom (GB),Local Authority
ICID00034360,2019-04-03,CHEMET,N/A,United Kingdom (GB),Met Office
ICID00034361,2019-04-03,Allergens,Herbs & Spices,Pakistan (PK),Local Authority
ICID00034362,2019-04-03,Allergens,Nuts / Nut Products / Seeds,United Kingdom (GB),Industry
ICID00034363,2019-04-03,Novel Food,Confectionery,United States (US),RASFF
ICID00034364,2019-04-03,Foreign Bodies,Cocoa / Cocoa Preparations / Coffee / Tea,Switzerland (CH),Third Country
ICID00034365,2019-04-03,Novel Food,Confectionery,Netherlands (NL),Local Authority
ICID00034366,2019-04-03,Labelling Absent / Incomplete / Incorrect,Feed Materials,United Kingdom (GB),EU Member States
ICID00034367,2019-04-03,Migration,Soups / Broths / Sauces & Condiments,Pakistan (PK),EU Member States
ICID00034368,2019-04-04,Pathogenic Micro-Organisms,N/A,United Kingdom (GB),Animal & Plant Health Agency (APHA)
ICID00034369,2019-04-04,Residues of Veterinary Medicinal Products,Meat & Meat Products (other than poultry),United Kingdom (GB),Veterinary Medicines Directorate
ICID00034370,2019-04-04,Poor or Insufficient Controls,Prepared Dishes & Snacks,United Kingdom (GB),Industry
ICID00034371,2019-04-04,Residues of Veterinary Medicinal Products,Poultry Meat & Poultry Meat Products,Belgium (BE),RASFF
ICID00034372,2019-04-04,Clandestine Detection,Fruits & Vegetables,France (FR),Home Office / Border Force
ICID00034373,2019-04-04,Pesticide Residues,Fruits & Vegetables,Kenya (KE),Border Inspection Posts (BIPs)
ICID00034374,2019-04-04,Allergens,Dietetic Foods / Food Supplements / Fortified Foods,United Kingdom (GB),Industry
ICID00034375,2019-04-05,Foreign Bodies,Meat & Meat Products (other than poultry),United Kingdom (GB),Industry
ICID00034376,2019-04-05,Allergens,Ices & Desserts,United Kingdom (GB),Industry
ICID00034377,2019-04-05,Pesticide Residues,Fruits & Vegetables,Uganda (UG),Port Health Authority (PHA)
ICID00034378,2019-04-05,Foreign Bodies,Confectionery,Bulgaria (BG),Local Authority
ICID00034379,2019-04-05,Pesticide Residues,Fruits & Vegetables,Dominican Republic (DO),Port Health Authority (PHA)
ICID00034380,2019-04-05,Clandestine Detection,Herbs & Spices,France (FR),Home Office / Border Force
ICID00034381,2019-04-05,Heavy Metals,Cocoa / Cocoa Preparations / Coffee / Tea ,Peru (PE),Other
ICID00034382,2019-04-05,Pathogenic Micro-Organisms,Milk & Milk Products,France (FR),RASFF
ICID00034383,2019-04-05,Clandestine Detection,Cocoa / Cocoa Preparations / Coffee / Tea,France (FR),Home Office / Border Force
ICID00034384,2019-04-05,Biocontaminants,Milk & Milk Products,United Kingdom (GB),Local Authority
ICID00034385,2019-04-05,Food Additives & Flavourings,Alcoholic Beverages,Belgium (BE),Administrative Assistance & Cooperation System (AAC)
ICID00034386,2019-04-06,CHEMET,N/A,United Kingdom (GB),Environment Agency (EA)
ICID00034387,2019-04-07,CHEMET,N/A,United Kingdom (GB),Environment Agency (EA)
ICID00034388,2019-04-07,Clandestine Detection,Fruits & Vegetables,Spain (ES),Home Office / Border Force
ICID00034389,2019-04-08,CHEMET,N/A,United Kingdom (GB),Environment Agency (EA)
ICID00034390,2019-04-08,Adulteration / Fraud,Meat & Meat Products (other than poultry),United Kingdom (GB),Local Authority
ICID00034391,2019-04-08,Pesticide Residues,Fruits & Vegetables,India (IN),Border Inspection Posts (BIPs)
ICID00034392,2019-04-08,Pesticide Residues,Fruits & Vegetables,India (IN),Border Inspection Posts (BIPs)
ICID00034393,2019-04-08,CHEMET,N/A,United Kingdom (GB),Local Authority
ICID00034394,2019-04-08,Composition,Compound Feeds,Lithuania (LT),RASFF
ICID00034395,2019-04-08,Poor or Insufficient Controls,Nuts / Nut Products / Seeds,Islamic Republic of Iran (IR),Border Inspection Posts (BIPs)
ICID00034396,2019-04-08,Adulteration / Fraud,Dietetic Foods / Food Supplements / Fortified Foods,United Kingdom (GB),Local Authority
ICID00034397,2019-04-09,Heavy Metals,Meat & Meat Products (other than poultry),United Kingdom (GB),Animal & Plant Health Agency (APHA)
ICID00034398,2019-04-09,Pesticide Residues,Fruits & Vegetables,Kenya (KE),Border Inspection Posts (BIPs)
