UniqueReferenceNumber(URN) ,IncidentDate,IncidentCategory,ProductType,ProductOriginCountry ,NotifierType
ICID00032733,2018-08-01,Foreign Bodies,Cereals & Bakery Products,United Kingdom (GB),General Public
ICID00032734,2018-08-01,Feed Additives,Feed Materials,United Kingdom (GB),RASFF
ICID00032735,2018-08-01,Labelling Absent / Incomplete / Incorrect,Fish & Fish Products,United Kingdom (GB),Local Authority
ICID00032736,2018-08-01,Food Additives & Flavourings,Confectionery,Sri Lanka (LK),RASFF
ICID00032737,2018-08-01,Foreign Bodies,Cocoa / Cocoa Preparations / Coffee / Tea,Egypt (EG),Industry
ICID00032738,2018-08-02,Labelling Absent / Incomplete / Incorrect,Confectionery,United States (US),Administrative Assistance & Cooperation System (AAC)
ICID00032739,2018-08-01,Residues of Veterinary Medicinal Products,Meat & Meat Products (other than poultry),United Kingdom (GB),Public Analyst / Laboratory
ICID00032740,2018-08-02,Chemical Contamination (other),Non-Alcoholic Beverages,Germany (DE),Food Standards Scotland (FSS)
ICID00032741,2018-08-02,Mycotoxins,Herbs & Spices,China (CX),RASFF
ICID00032742,2018-08-02,Pathogenic Micro-Organisms,Milk & Milk Products,France (FR),RASFF
ICID00032743,2018-08-02,Pathogenic Micro-Organisms,Nuts / Nut Products / Seeds,China (CX),RASFF
ICID00032744,2018-08-03,Clandestine Detection,Milk & Milk Products,France (FR),Home Office / Border Force
ICID00032745,2018-08-03,Composition,Dietetic Foods / Food Supplements / Fortified Foods,United Kingdom (GB),RASFF
ICID00032746,2018-08-03,Residues of Veterinary Medicinal Products,Egg & Egg Products,United Kingdom (GB),Public Analyst / Laboratory
ICID00032747,2018-08-03,Residues of Veterinary Medicinal Products,Meat & Meat Products (other than poultry),United Kingdom (GB),Public Analyst / Laboratory
ICID00032748,2018-08-03,Residues of Veterinary Medicinal Products,Egg & Egg Products,United Kingdom (GB),Public Analyst / Laboratory
ICID00032749,2018-08-03,Poor or Insufficient Controls,Fish & Fish Products,Papua New Guinea (PG),Border Inspection Posts (BIPs)
ICID00032750,2018-08-03,Composition,Food Additives & Flavourings,Netherlands (NL),Administrative Assistance & Cooperation System (AAC)
ICID00032751,2018-08-03,Foreign Bodies,Fruits & Vegetables,Ireland (IE),EU Member States
ICID00032752,2018-08-03,Residues of Veterinary Medicinal Products,Meat & Meat Products (other than poultry),United Kingdom (GB),Public Analyst / Laboratory
ICID00032753,2018-08-03,Clandestine Detection,Fruits & Vegetables,Spain (ES),Home Office / Border Force
ICID00032754,2018-08-03,Pesticide Residues,Fruits & Vegetables,Jamaica (JM),Port Health Authority (PHA)
ICID00032755,2018-08-05,CHEMET,N/A,United Kingdom (GB),Fire Services
ICID00032756,2018-08-05,CHEMET,N/A,United Kingdom (GB),Fire Services
ICID00032757,2018-08-06,Pathogenic Micro-Organisms,Cereals & Bakery Products,China (CX),Home Office / Border Force
ICID00032758,2018-08-06,Poor or Insufficient Controls,Fish & Fish Products,Japan (JP),Border Inspection Posts (BIPs)
ICID00032759,2018-08-06,Pathogenic Micro-Organisms,Ices & Desserts,United Kingdom (GB),Industry
ICID00032760,2018-08-06,Labelling Absent / Incomplete / Incorrect,Dietetic Foods / Food Supplements / Fortified Foods,Netherlands (NL),Administrative Assistance & Cooperation System (AAC)
ICID00032761,2018-08-06,Labelling Absent / Incomplete / Incorrect,Dietetic Foods / Food Supplements / Fortified Foods,United Kingdom (GB),Administrative Assistance & Cooperation System (AAC)
ICID00032762,2018-08-06,Residues of Veterinary Medicinal Products,Meat & Meat Products (other than poultry),United Kingdom (GB),Veterinary Medicines Directorate
ICID00032763,2018-08-06,Residues of Veterinary Medicinal Products,Meat & Meat Products (other than poultry),United Kingdom (GB),Veterinary Medicines Directorate
ICID00032764,2018-08-06,Residues of Veterinary Medicinal Products,Meat & Meat Products (other than poultry),United Kingdom (GB),Veterinary Medicines Directorate
ICID00032765,2018-08-06,Pathogenic Micro-Organisms,Feed Materials,United Kingdom (GB),Industry
ICID00032766,2018-08-06,Allergens,Alcoholic Beverages ,Poland (PL),Local Authority
ICID00032767,2018-08-07,Clandestine Detection,Confectionery,Spain (ES),Home Office / Border Force
ICID00032768,2018-08-07,Labelling Absent / Incomplete / Incorrect,Fish & Fish Products,Vietnam (VN),Administrative Assistance & Cooperation System (AAC)
ICID00032769,2018-08-07,CHEMET,N/A,United Kingdom (GB),Fire Services
ICID00032770,2018-08-07,Pathogenic Micro-Organisms,Cereals & Bakery Products,Nigeria (NG),Administrative Assistance & Cooperation System (AAC)
ICID00032771,2018-08-07,Residues of Veterinary Medicinal Products,Meat & Meat Products (other than poultry),United Kingdom (GB),Veterinary Medicines Directorate
ICID00032772,2018-08-07,Labelling Absent / Incomplete / Incorrect,Meat & Meat Products (other than poultry),Ireland (IE),FSA Operations Group
ICID00032773,2018-08-07,CHEMET,N/A,United Kingdom (GB),Fire Services
ICID00032774,2018-08-07,Poor or Insufficient Controls,N/A,United Kingdom (GB),General Public
ICID00032775,2018-08-07,CHEMET,N/A,United Kingdom (GB),Met Office
ICID00032776,2018-08-07,CHEMET,N/A,United Kingdom (GB),Fire Services
ICID00032777,2018-08-08,CHEMET,N/A,United Kingdom (GB),Fire Services
ICID00032778,2018-08-08,CHEMET,N/A,United Kingdom (GB),Environment Agency (EA)
ICID00032779,2018-08-08,Labelling Absent / Incomplete / Incorrect,Fruits & Vegetables,India (IN),Administrative Assistance & Cooperation System (AAC)
ICID00032780,2018-08-08,Pathogenic Micro-Organisms,Prepared Dishes & Snacks,Netherlands (NL),RASFF
ICID00032781,2018-08-08,Pathogenic Micro-Organisms,Poultry Meat & Poultry Meat Products,Poland (PL),RASFF
ICID00032782,2018-08-08,Migration,Food Contact Materials,China (CX),RASFF
ICID00032783,2018-08-01,Chemical Contamination (other),Fruits & Vegetables,United Kingdom (GB),EU Member States
ICID00032784,2018-08-08,Clandestine Detection,Cereals & Bakery Products,Germany (DE),Border Inspection Posts (BIPs)
ICID00032785,2018-08-08,Pathogenic Micro-Organisms,Other Food Product / Mixed,United Kingdom (GB),Public Health England (PHE)
ICID00032786,2018-08-08,CHEMET,N/A,United Kingdom (GB),Fire Services
ICID00032787,2018-08-08,Residues of Veterinary Medicinal Products,Meat & Meat Products (other than poultry),United Kingdom (GB),Veterinary Medicines Directorate
ICID00032788,2018-08-09,Residues of Veterinary Medicinal Products,Meat & Meat Products (other than poultry),United Kingdom (GB),Veterinary Medicines Directorate
ICID00032789,2018-08-09,Pathogenic Micro-Organisms,Milk & Milk Products,United Kingdom (GB),Animal & Plant Health Agency (APHA)
ICID00032790,2018-08-09,Clandestine Detection,Egg & Egg Products,Poland (PL),Border Inspection Posts (BIPs)
ICID00032791,2018-08-09,Poor or Insufficient Controls,Soups / Broths / Sauces & Condiments,India (IN),Port Health Authority (PHA)
ICID00032792,2018-08-09,Clandestine Detection,Fruits & Vegetables,Spain (ES),Home Office / Border Force
ICID00032793,2018-08-09,Allergens,Confectionery,Thailand (TH),Industry
ICID00032794,2018-08-10,Labelling Absent / Incomplete / Incorrect,Poultry Meat & Poultry Meat Products,Poland (PL),Local Authority
ICID00032795,2018-08-10,Allergens,Prepared Dishes & Snacks,United Kingdom (GB),Industry
ICID00032796,2018-08-10,CHEMET,N/A,United Kingdom (GB),Fire Services
ICID00032797,2018-08-11,Clandestine Detection,Fruits & Vegetables,Italy (IT),Home Office / Border Force
ICID00032798,2018-08-11,CHEMET,N/A,United Kingdom (GB),Met Office
ICID00032799,2018-08-11,CHEMET,N/A,United Kingdom (GB),Met Office
ICID00032800,2018-08-13,Residues of Veterinary Medicinal Products,Meat & Meat Products (other than poultry),United Kingdom (GB),Department of Agriculture & Rural Development (DARD)
ICID00032801,2018-08-13,Allergens,Cereals & Bakery Products ,United Kingdom (GB),Industry
ICID00032802,2018-08-09,Heavy Metals,Meat & Meat Products (other than poultry),United Kingdom (GB),Department of Agriculture & Rural Development (DARD)
ICID00032803,2018-08-10,Adulteration / Fraud,Meat & Meat Products (other than poultry),United Kingdom (GB),Police
ICID00032804,2018-08-13,Residues of Veterinary Medicinal Products,Meat & Meat Products (other than poultry),United Kingdom (GB),Department of Agriculture & Rural Development (DARD)
ICID00032805,2018-08-13,Pathogenic Micro-Organisms,Food Contact Materials,United Kingdom (GB),Industry
ICID00032806,2018-08-14,Poor or Insufficient Controls,Meat & Meat Products (other than poultry),United Kingdom (GB),Industry
ICID00032807,2018-08-14,Heavy Metals,Meat & Meat Products (other than poultry),United Kingdom (GB),Animal & Plant Health Agency (APHA)
ICID00032808,2018-08-14,Pathogenic Micro-Organisms,Meat & Meat Products (other than poultry),Australia (AU),Border Inspection Posts (BIPs)
ICID00032809,2018-08-14,Pesticide Residues,Fruits & Vegetables,Netherlands (NL),RASFF
ICID00032810,2018-08-14,CHEMET,N/A,United Kingdom (GB),Water Company
ICID00032811,2018-08-14,CHEMET,N/A,United Kingdom (GB),Met Office
ICID00032812,2018-08-15,Residues of Veterinary Medicinal Products,Meat & Meat Products (other than poultry),United Kingdom (GB),Public Analyst / Laboratory
ICID00032813,2018-08-15,Pathogenic Micro-Organisms,Fish & Fish Products,United Kingdom (GB),Industry
ICID00032814,2018-08-15,CHEMET,N/A,United Kingdom (GB),Fire Services
