UniqueReferenceNumber(URN) ,IncidentDate,IncidentCategory,ProductType,ProductOriginCountry ,NotifierType
ICID00035157,2019-07-25,Clandestine Detection,Confectionery,Luxembourg (LU),Home Office / Border Force
ICID00035210,2019-08-01,Labelling Absent / Incomplete / Incorrect,Confectionery,South Africa (ZA),EU Member States
ICID00035211,2019-08-01,Packaging Defective / Incorrect,Meat & Meat Products (other than poultry),Brazil (BR),Port Health Authority (PHA)
ICID00035212,2019-08-01,Pathogenic Micro-Organisms,Poultry Meat & Poultry Meat Products,Poland (PL),European Commission (EC)
ICID00035213,2019-08-01,Packaging Defective / Incorrect,Ices & Desserts,Belgium (BE),European Commission (EC)
ICID00035214,2019-08-01,Labelling Absent / Incomplete / Incorrect,Herbs & Spices,India (IN),FSA Northern Ireland (FSANI)
ICID00035215,2019-08-01,CHEMET,N/A,United Kingdom (GB),Environment Agency (EA)
ICID00035216,2019-08-01,Labelling Absent / Incomplete / Incorrect,Prepared Dishes & Snacks,Hong Kong (HK),RASFF
ICID00035217,2019-08-01,Pathogenic Micro-Organisms,Poultry Meat & Poultry Meat Products,Poland (PL),European Commission (EC)
ICID00035218,2019-08-01,Biocontaminants,Crustaceans & Products Thereof,United Kingdom (GB),National Food Crime Unit (NFCU)
ICID00035219,2019-08-02,CHEMET,N/A,United Kingdom (GB),Fire Services
ICID00035220,2019-08-02,Pathogenic Micro-Organisms,Feed Materials,United Kingdom (GB),Industry
ICID00035221,2019-08-02,Adulteration / Fraud,Poultry Meat & Poultry Meat Products,United Kingdom (GB),FSA Field Operations - FVC
ICID00035222,2019-08-02,Allergens,Herbs & Spices,India (IN),EU Member States
ICID00035223,2019-08-02,Clandestine Detection,Fruits & Vegetables,Spain (ES),Food Standards Scotland (FSS)
ICID00035224,2019-08-02,Labelling Absent / Incomplete / Incorrect,Dietetic Foods / Food Supplements / Fortified Foods,Malaysia (MY),Administrative Assistance & Cooperation System (AAC)
ICID00035225,2019-08-02,Pathogenic Micro-Organisms,Fish & Fish Products,Ireland (IE),EU Member States
ICID00035226,2019-08-02,Pathogenic Micro-Organisms,Fish & Fish Products,Ireland (IE),Industry
ICID00035227,2019-08-02,Novel Food,Dietetic Foods / Food Supplements / Fortified Foods,Turkey (TR),RASFF
ICID00035228,2019-08-02,Allergens,Other Food Product / Mixed,Thailand (TH),Industry
ICID00035229,2019-08-01,Packaging Defective / Incorrect,Alcoholic Beverages,United Kingdom (GB),Industry
ICID00035230,2019-08-02,Allergens,Prepared Dishes & Snacks,United Kingdom (GB),Industry
ICID00035231,2019-08-04,CHEMET,N/A,United Kingdom (GB),Met Office
ICID00035232,2019-08-04,CHEMET,N/A,United Kingdom (GB),Met Office
ICID00035233,2019-08-05,Residues of Veterinary Medicinal Products,Meat & Meat Products (other than poultry),United Kingdom (GB),Animal & Plant Health Agency (APHA)
ICID00035234,2019-08-05,Chemical Contamination (other),Non-Alcoholic Beverages,Ireland (IE),EU Member States
ICID00035235,2019-08-05,Pathogenic Micro-Organisms,Meat & Meat Products (other than poultry),United Kingdom (GB),General Public
ICID00035236,2019-08-05,Foreign Bodies,Fruits & Vegetables,Netherlands (NL),General Public
ICID00035237,2019-08-06,Allergens,Cereals & Bakery Products,United Kingdom (GB),Local Authority
ICID00035238,2019-08-05,Pesticide Residues,Fruits & Vegetables,India (IN),Border Inspection Posts (BIPs)
ICID00035239,2019-08-06,Residues of Veterinary Medicinal Products,Meat & Meat Products (other than poultry),United Kingdom (GB),Veterinary Medicines Directorate
