UniqueReferenceNumber(URN) ,IncidentDate,IncidentCategory,ProductType,ProductOriginCountry,NotifierType
ICID00031167,2017-12-01,Clandestine Detection,Fruits & Vegetables,Netherlands (NL),Home Office / Border Force
ICID00031168,2017-12-01,Labelling Absent / Incomplete / Incorrect,Meat & Meat Products (other than poultry),New Zealand (NZ),Local Authority
ICID00031169,2017-12-01,Novel Food,Dietetic Foods / Food Supplements / Fortified Foods,United States (US),RASFF
ICID00031170,2017-12-01,Mycotoxins,Nuts / Nut Products / Seeds,United States (US),Border Inspection Posts (BIPs)
ICID00031171,2017-12-01,Allergens,Prepared Dishes & Snacks,Vietnam (VN),Industry
ICID00031172,2017-12-01,Allergens,Cereals & Bakery Products,United Kingdom (GB),Local Authority
ICID00031173,2017-12-01,Poor or Insufficient Controls,Confectionery,Poland (PL),Border Inspection Posts (BIPs)
ICID00031174,2017-12-01,Foreign Bodies,Meat & Meat Products (other than poultry),Romania (RO),Industry
ICID00031175,2017-12-02,Poor or Insufficient Controls,Confectionery,Belgium (BE),Police
ICID00031176,2017-12-02,Poor or Insufficient Controls,Non-Alcoholic Beverages,Spain (ES),Border Inspection Posts (BIPs)
ICID00031177,2017-12-03,Poor or Insufficient Controls,Fruits & Vegetables,Spain (ES),Border Inspection Posts (BIPs)
ICID00031178,2017-12-01,Food Additives & Flavourings,Cereals & Bakery Products,Philippines (PH),RASFF
ICID00031179,2017-12-01,Foreign Bodies,Prepared Dishes & Snacks,Netherlands (NL),RASFF
ICID00031180,2017-12-04,Labelling Absent / Incomplete / Incorrect,Fruits & Vegetables,India (IN),Port Health Authority (PHA)
ICID00031182,2017-12-04,Foreign Bodies,Confectionery,United States (US),Local Authority
ICID00031183,2017-12-01,Residues of Veterinary Medicinal Products,Meat & Meat Products (other than poultry),United Kingdom (GB),Department of Agriculture & Rural Development (DARD)
ICID00031184,2017-12-04,Poor or Insufficient Controls,Fruits & Vegetables,Spain (ES),Border Inspection Posts (BIPs)
ICID00031185,2017-12-04,CHEMET,N/A,United Kingdom (GB),Fire Services
ICID00031187,2017-12-04,Novel Food,Dietetic Foods / Food Supplements / Fortified Foods,United States (US),RASFF
ICID00031188,2017-12-05,Pesticide Residues,Fruits & Vegetables,China (CX),RASFF
ICID00031189,2017-12-01,Pesticide Residues,Fruits & Vegetables,Dominican Republic (DO),Port Health Authority (PHA)
ICID00031190,2017-12-05,Allergens,Poultry Meat & Poultry Meat Products,Russian Federation (RU),Local Authority
ICID00031191,2017-12-05,Novel Food,Dietetic Foods / Food Supplements / Fortified Foods,United States (US),RASFF
ICID00031192,2017-12-05,Allergens,Soups / Broths / Sauces & Condiments,United Kingdom,Industry
ICID00031193,2017-12-05,Chemical Contamination (other),Milk & Milk Products,United Kingdom (GB),Animal and Plant Health Agency (APHA)
ICID00031195,2017-12-05,Pathogenic Micro-Organisms,Poultry Meat & Poultry Meat Products,Brazil (BR),Border Inspection Posts (BIPs)
ICID00031196,2017-12-05,Allergens,Poultry Meat & Poultry Meat Products,Brazil (BR),Industry
ICID00031197,2017-12-05,Poor or Insufficient Controls,Meat & Meat Products (other than poultry),United Kingdom (GB),General Public
ICID00031198,2017-12-05,CHEMET,N/A,United Kingdom (GB),Fire Services
ICID00031199,2017-12-05,Labelling Absent / Incomplete / Incorrect,Dietetic Foods / Food Supplements / Fortified Foods,United Kingdom (GB),RASFF
ICID00031200,2017-12-06,Poor or Insufficient Controls,Confectionery,Switzerland (CH),Police
ICID00031201,2017-12-06,Clandestine Detection,Confectionery,Germany (DE),Home Office / Border Force
ICID00031202,2017-12-06,Allergens,Meat & Meat Products (other than poultry),Ireland (IE),Industry
ICID00031203,2017-12-06,Labelling Absent / Incomplete / Incorrect,Dietetic Foods / Food Supplements / Fortified Foods,United Kingdom (GB),Administrative Assistance and Cooperation System (AAC) 
ICID00031205,2017-12-06,Poor or Insufficient Controls,Cereals & Bakery Products,France (FR),Border Inspection Posts (BIPs)
ICID00031206,2017-12-06,Labelling Absent / Incomplete / Incorrect,Cereals & Bakery Products,United Kingdom (GB),Local Authority
ICID00031207,2017-12-06,Poor or Insufficient Controls,Poultry Meat & Poultry Meat Products,United Kingdom (GB),FSA Operations Group
ICID00031208,2017-12-06,Allergens,Meat & Meat Products (other than poultry),Brazil (BR),Local Authority
ICID00031209,2017-12-06,Residues of Veterinary Medicinal Products,Meat & Meat Products (other than poultry),United Kingdom (GB),Department of Agriculture & Rural Development (DARD)
ICID00031211,2017-12-06,CHEMET,N/A,United Kingdom (GB),Fire Services
