UniqueReferenceNumber(URN) ,IncidentDate,IncidentCategory,ProductType,ProductOriginCountry ,NotifierType
ICID00033565,2018-12-02,Clandestine Detection,Fish & Fish Products,Netherlands (NL),Home Office / Border Force
ICID00033566,2018-12-03,Pesticide Residues,Fruits & Vegetables,Pakistan (PK),Border Inspection Posts (BIPs)
ICID00033567,2018-12-03,Heavy Metals,Food Contact Materials,China (CX),RASFF
ICID00033569,2018-12-03,Pathogenic Micro-Organisms,Meat & Meat Products (other than poultry),United Kingdom (GB),Local Authority
ICID00033570,2018-12-03,Clandestine Detection,Fruits & Vegetables,Italy (IT),Border Inspection Posts (BIPs)
ICID00033571,2018-12-03,Labelling Absent / Incomplete / Incorrect,Meat & Meat Products (other than poultry),Ireland (IE),EU Member States
ICID00033572,2018-12-03,Mycotoxins,Cereals & Bakery Products,United Kingdom (GB),RASFF
ICID00033573,2018-12-03,Clandestine Detection,Herbs & Spices,Israel (IL),Home Office / Border Force
ICID00033574,2018-12-03,Labelling Absent / Incomplete / Incorrect,Meat & Meat Products (other than poultry),United Kingdom (GB),Administrative Assistance & Cooperation System (AAC)
ICID00033575,2018-12-03,Pathogenic Micro-Organisms,Meat & Meat Products (other than poultry),United Kingdom (GB),Animal & Plant Health Agency (APHA)
ICID00033576,2018-12-03,Pathogenic Micro-Organisms,Poultry Meat & Poultry Meat Products,Ireland (IE),EU Member States
ICID00033577,2018-12-04,Pesticide Residues,Fruits & Vegetables,South Africa (ZA),Port Health Authority (PHA)
ICID00033578,2018-12-04,Adulteration / Fraud,Meat & Meat Products (other than poultry),United Kingdom (GB),FSA England
ICID00033579,2018-12-04,Allergens,Fish & Fish Products,South Korea (KR),Local Authority
ICID00033580,2018-12-04,Poor or Insufficient Controls,Poultry Meat & Poultry Meat Products,United Kingdom (GB),General Public
ICID00033581,2018-12-04,Pathogenic Micro-Organisms,Cocoa / Cocoa Preparations / Coffee / Tea,United Kingdom (GB),Local Authority
ICID00033582,2018-12-04,Mycotoxins,Nuts / Nut Products / Seeds,Argentina (AR),Border Inspection Posts (BIPs)
ICID00033583,2018-12-04,Pathogenic Micro-Organisms,Poultry Meat & Poultry Meat Products,Brazil (BR),Border Inspection Posts (BIPs)
ICID00033584,2018-12-05,Poor or Insufficient Controls,Fish & Fish Products,Mozambique (MZ),Border Inspection Posts (BIPs)
ICID00033585,2018-12-05,Allergens,Other Food Product / Mixed,India (IN),Local Authority
ICID00033586,2018-12-05,Clandestine Detection,Fruits & Vegetables,Netherlands (NL),Border Inspection Posts (BIPs)
ICID00033587,2018-12-05,Labelling Absent / Incomplete / Incorrect,Honey & Royal Jelly,United Kingdom (GB),EU Member States
ICID00033588,2018-12-05,Foreign Bodies,Cereals & Bakery Products,United Kingdom (GB),EU Member States
ICID00033589,2018-12-05,Mycotoxins,Nuts / Nut Products / Seeds,Germany (DE),RASFF
ICID00033590,2018-12-06,CHEMET,N/A,United Kingdom (GB),Met Office
ICID00033591,2018-12-06,Chemical Contamination (other),Crustaceans & Products Thereof,United Kingdom (GB),Environment Agency (EA)
ICID00033592,2018-12-06,Allergens,Soups / Broths / Sauces & Condiments,United States (US),Local Authority
ICID00033593,2018-12-06,Poor or Insufficient Controls,Meat & Meat Products (other than poultry),United Kingdom (GB),General Public
ICID00033595,2018-12-06,Poor or Insufficient Controls,Soups / Broths / Sauces & Condiments,United Kingdom (GB),Local Authority
ICID00033594,2018-12-07,Allergens,Cereals & Bakery Products,United Kingdom (GB),Local Authority
ICID00033596,2018-12-07,Allergens,Prepared Dishes & Snacks,United Kingdom (GB),Industry
ICID00033597,2018-12-07,Clandestine Detection,Cereals & Bakery Products,Germany (DE),Border Inspection Posts (BIPs)
ICID00033598,2018-12-07,Pathogenic Micro-Organisms,Meat & Meat Products (other than poultry),Brazil (BR),FSA England
ICID00033599,2018-12-07,Allergens,Meat & Meat Products (other than poultry),United Kingdom (GB),Industry
