UniqueReferenceNumber(URN) ,IncidentDate,IncidentCategory,ProductType,ProductOriginCountry ,NotifierType
ICID00036638,2020-02-17,Pathogenic Micro-Organisms,Meat & Meat Products (other than poultry),Border Inspection Posts (BIPs),Argentina (AR)
ICID00036705,2020-02-25,Pathogenic Micro-Organisms,Meat & Meat Products (other than poultry),Local Authority,Argentina (AR)
ICID00036534,2020-02-05,Pathogenic Micro-Organisms,Poultry Meat & Poultry Meat Products,Border Inspection Posts (BIPs),Brazil (BR)
ICID00036497,2020-02-03,Poor or Insufficient Controls,Prepared Dishes & Snacks,General Public,Brazil (BR)
ICID00036594,2020-02-12,Allergens,Poultry Meat & Poultry Meat Products,Local Authority,China (CX)
ICID00036603,2020-02-13,Allergens,Prepared Dishes & Snacks,Local Authority,China (CX)
ICID00036671,2020-02-21,Allergens,Soups / Broths / Sauces & Condiments,Local Authority,China (CX)
ICID00036582,2020-02-11,Migration,Food Contact Materials,RASFF,China (CX)
ICID00036696,2020-02-25,Migration,Food Contact Materials,RASFF,China (CX)
ICID00036715,2020-02-26,Migration,Food Contact Materials,RASFF,China (CX)
ICID00036580,2020-02-11,Foreign Bodies,Fruits & Vegetables,RASFF,China (CX)
ICID00036593,2020-02-12,Labelling Absent / Incomplete / Incorrect,Alcoholic Beverages,Local Authority,Denmark (DK)
ICID00036613,2020-02-13,Pesticide Residues,Fruits & Vegetables,Port Health Authority (PHA),Dominican Republic (DO)
ICID00036698,2020-02-25,Pathogenic Micro-Organisms,Herbs & Spices,RASFF,Egypt (EG)
ICID00036599,2020-02-12,Mycotoxins,Nuts / Nut Products / Seeds,RASFF,Egypt (EG)
ICID00036579,2020-02-11,Chemical Contamination (other),Fats & Oils,RASFF,Estonia (EE) 
ICID00036494,2020-02-01,Clandestine Detection,Cereals & Bakery Products,Home Office / Border Force,France (FR)
ICID00036542,2020-02-06,Clandestine Detection,Milk & Milk Products,Home Office / Border Force,France (FR)
ICID00036532,2020-02-06,Allergens,Milk & Milk Products,Industry,France (FR)
ICID00036641,2020-02-17,Foreign Bodies,Prepared Dishes & Snacks,Industry,France (FR)
ICID00036574,2020-02-10,Feed Additives,Feed Materials,RASFF,France (FR)
ICID00036598,2020-02-12,Pathogenic Micro-Organisms,Milk & Milk Products,RASFF,France (FR)
ICID00036685,2020-02-24,Allergens,Meat & Meat Products (other than poultry),Food Standards Scotland (FSS),Germany (DE)
ICID00036525,2020-02-05,Allergens,Soups / Broths / Sauces & Condiments,Industry,Germany (DE)
ICID00036576,2020-02-11,Foreign Bodies,Meat & Meat Products (other than poultry),Local Authority,Germany (DE)
ICID00036678,2020-02-21,Allergens,Prepared Dishes & Snacks,RASFF,Germany (DE)
ICID00036536,2020-02-06,Poor or Insufficient Controls,Fats & Oils,Border Inspection Posts (BIPs),Ghana (GH)
ICID00036537,2020-02-06,Labelling Absent / Incomplete / Incorrect,Fish & Fish Products,Border Inspection Posts (BIPs),Ghana (GH)
ICID00036538,2020-02-06,Labelling Absent / Incomplete / Incorrect,Fish & Fish Products,Border Inspection Posts (BIPs),Ghana (GH)
ICID00036540,2020-02-06,Labelling Absent / Incomplete / Incorrect,Fish & Fish Products,Border Inspection Posts (BIPs),Ghana (GH)
ICID00036609,2020-02-13,Pathogenic Micro-Organisms,Other Food Product / Mixed,Border Inspection Posts (BIPs),Ghana (GH)
ICID00036539,2020-02-06,Labelling Absent / Incomplete / Incorrect,Fish & Fish Products,Border Inspection Posts (BIPs),Ghana (GH)
ICID00036544,2020-02-06,Labelling Absent / Incomplete / Incorrect,Fish & Fish Products,Border Inspection Posts (BIPs),Ghana (GH)
ICID00036541,2020-02-06,Labelling Absent / Incomplete / Incorrect,Nuts / Nut Products / Seeds,Border Inspection Posts (BIPs),Ghana (GH)
ICID00036543,2020-02-06,Labelling Absent / Incomplete / Incorrect,Nuts / Nut Products / Seeds,Border Inspection Posts (BIPs),Ghana (GH)
ICID00036675,2020-02-21,Chemical Contamination (other),Food Contact Materials,RASFF,Hong Kong (HK)
ICID00036528,2020-02-06,Labelling Absent / Incomplete / Incorrect,Herbs & Spices,Border Inspection Posts (BIPs),India (IN)
ICID00036530,2020-02-06,Labelling Absent / Incomplete / Incorrect,Herbs & Spices,Border Inspection Posts (BIPs),India (IN)
ICID00036573,2020-02-10,Labelling Absent / Incomplete / Incorrect,Herbs & Spices,Border Inspection Posts (BIPs),India (IN)
ICID00036732,2020-02-28,Mycotoxins,Herbs & Spices,Border Inspection Posts (BIPs),India (IN)
