UniqueReferenceNumber(URN),IncidentDate,IncidentCategory,ProductType,ProductOriginCountry,NotifierType
ICID00031351,2018-01-02,Allergens,Milk & Milk Products,Bulgaria (BG),Industry
ICID00031352,2018-01-02,Residues of Veterinary Medicinal Products,Meat & Meat Products (other than poultry),United Kingdom (GB),Veterinary Medicines Directorate
ICID00031353,2018-01-02,Poor or Insufficient Controls,Confectionery,Turkey (TR),Port Health Authority (PHA)
ICID00031354,2018-01-02,CHEMET,N/A,United Kingdom (GB),Local Authority
ICID00031355,2018-01-02,Poor or Insufficient Controls,Confectionery,Turkey (TR),Port Health Authority (PHA)
ICID00031356,2018-01-02,Poor or Insufficient Controls,Nuts / Nut Products / Seeds,Islamic Republic of Iran (IR),Port Health Authority (PHA)
ICID00031357,2018-01-02,Poor or Insufficient Controls,Fruits & Vegetables,Islamic Republic of Iran (IR),Port Health Authority (PHA)
ICID00031358,2018-01-02,Novel Food,Dietetic Foods / Food Supplements / Fortified Foods,Finland (FI),RASFF
ICID00031359,2018-01-02,Poor or Insufficient Controls,Nuts / Nut Products / Seeds,Islamic Republic of Iran (IR),Port Health Authority (PHA)
ICID00031360,2018-01-02,Poor or Insufficient Controls,Nuts / Nut Products / Seeds,Islamic Republic of Iran (IR),Port Health Authority (PHA)
ICID00031361,2018-01-03,Allergens,Other Food Product / Mixed,United States (US),General Public
ICID00031362,2018-01-03,Allergens,Non-Alcoholic Beverages,United Kingdom (GB),Local Authority
ICID00031363,2018-01-03,Residues of Veterinary Medicinal Products,Meat & Meat Products (other than poultry),United Kingdom (GB),Department of Agriculture & Rural Development (DARD)
ICID00031364,2018-01-03,Mycotoxins,Fruits & Vegetables,Turkey (TR),Port Health Authority (PHA)
ICID00031366,2018-01-03,Poor or Insufficient Controls,Fruits & Vegetables,India (IN),Port Health Authority (PHA)
ICID00031367,2018-01-03,Labelling Absent / Incomplete / Incorrect,Dietetic Foods / Food Supplements / Fortified Foods,United States (US),Local Authority
ICID00031368,2018-01-03,Poor or Insufficient Controls,Poultry Meat & Poultry Meat Products,United Kingdom (GB),General Public
ICID00031369,2018-01-03,Mycotoxins,Feed Premixtures,Argentina (AR),Border Inspection Posts (BIPs)
ICID00031370,2018-01-01,CHEMET,N/A,United Kingdom (GB),Water Company
ICID00031371,2018-01-01,Poor or Insufficient Controls,Prepared Dishes & Snacks,United Kingdom (GB),General Public
ICID00031372,2018-01-04,Foreign Bodies,Feed Premixtures,United Kingdom (GB),General Public
ICID00031374,2018-01-04,Pesticide Residues,Fruits & Vegetables,India (IN),Port Health Authority (PHA)
ICID00031375,2018-01-04,Pesticide Residues,Fruits & Vegetables,Turkey (TR),Border Inspection Posts (BIPs)
ICID00031376,2018-01-04,Pathogenic Micro-Organisms,Prepared Dishes & Snacks,United Kingdom (GB),EU Member States
ICID00031377,2018-01-04,Pathogenic Micro-Organisms,Pet Food,Iceland (IS),Industry
ICID00031378,2018-01-05,Pathogenic Micro-Organisms,Herbs & Spices,United Kingdom (GB),EU Member States
ICID00031379,2018-01-05,Poor or Insufficient Controls,Crustaceans & Products Thereof,Vietnam (VN),Border Inspection Posts (BIPs)
ICID00031380,2018-01-05,Composition,Dietetic Foods / Food Supplements / Fortified Foods,United Kingdom (GB),EU Member States
ICID00031383,2018-01-03,Poor or Insufficient Controls,Meat & Meat Products (other than poultry),Germany (DE),Local Authority
ICID00031384,2018-01-05,Novel Food,Dietetic Foods / Food Supplements / Fortified Foods,United Kingdom (GB),European Commission (EC)
