UniqueReferenceNumber(URN) ,IncidentDate,IncidentCategory,ProductType,ProductOriginCountry ,NotifierType
ICID00036285,2020-01-02,Pathogenic Micro-Organisms,Bivalve Molluscs & Products Thereof,United Kingdom (GB),EU Member States
ICID00036286,2020-01-02,Labelling Absent / Incomplete / Incorrect,Dietetic Foods / Food Supplements / Fortified Foods,United Kingdom (GB),Administrative Assistance & Cooperation System (AAC)
ICID00036287,2020-01-02,Heavy Metals,Meat & Meat Products (other than poultry),United Kingdom (GB),Department of Agriculture & Rural Development (DARD)
ICID00036288,2020-01-02,Foreign Bodies,Milk & Milk Products,France (FR),Local Authority
ICID00036289,2020-01-02,Allergens,Meat & Meat Products (other than poultry),United Kingdom (GB),Local Authority
ICID00036290,2020-01-02,CHEMET,N/A,United Kingdom (GB),Fire Services
ICID00036291,2020-01-02,CHEMET,N/A,United Kingdom (GB),Environment Agency (EA)
ICID00036293,2020-01-03,Labelling Absent / Incomplete / Incorrect,Other Food Product / Mixed,United Kingdom (GB),RASFF
ICID00036294,2020-01-03,Composition,Dietetic Foods / Food Supplements / Fortified Foods,United Kingdom (GB),Administrative Assistance & Cooperation System (AAC)
ICID00036296,2020-01-03,Poor or Insufficient Controls,N/A,United Kingdom (GB),Local Authority
ICID00036297,2020-01-03,Allergens,Nuts / Nut Products / Seeds,Denmark (DK),Industry
ICID00036299,2020-01-03,Chemical Contamination (other),Fats & Oils,India (IN),RASFF
ICID00036300,2020-01-03,Mycotoxins,Nuts / Nut Products / Seeds,United Kingdom (GB),RASFF
ICID00036301,2020-01-03,Novel Food,Dietetic Foods / Food Supplements / Fortified Foods,United States (US),EU Member States
ICID00036302,2020-01-03,Pathogenic Micro-Organisms,Other Food Product / Mixed,United Kingdom (GB),Industry
ICID00036303,2020-01-03,Food Additives & Flavourings,Non-Alcoholic Beverages,United States (US),Local Authority
ICID00036304,2020-01-03,Clandestine Detection,Fruits & Vegetables,Spain (ES),Home Office / Border Force
ICID00036305,2020-01-03,Pesticide Residues,Fruits & Vegetables,India (IN),RASFF
ICID00036307,2020-01-06,Allergens,Cereals & Bakery Products,United Kingdom (GB),Local Authority
ICID00036308,2020-01-06,Labelling Absent / Incomplete / Incorrect,Confectionery ,Turkey (TR),Port Health Authority (PHA)
ICID00036309,2020-01-06,Allergens,Cereals & Bakery Products,United Kingdom (GB),Local Authority
ICID00036310,2020-01-06,Labelling Absent / Incomplete / Incorrect,Other Food Product / Mixed,United Kingdom (GB),Industry
ICID00036311,2020-01-06,Food Additives & Flavourings,Confectionery,Philippines (PH),EU Member States
ICID00036312,2020-01-06,CHEMET,N/A,United Kingdom (GB),Met Office
ICID00036313,2020-01-06,Labelling Absent / Incomplete / Incorrect,Fruits & Vegetables,United Kingdom (GB),Industry
ICID00036314,2020-01-07,Clandestine Detection,Fruits & Vegetables,Spain (ES),Home Office / Border Force
ICID00036315,2020-01-07,Allergens,Prepared Dishes & Snacks,Vietnam (VN),Industry
ICID00036316,2020-01-07,Allergens,Soups / Broths / Sauces & Condiments,Italy (IT) ,Industry
