UniqueReferenceNumber(URN),IncidentDate,IncidentCategory,ProductType,ProductOriginCountry ,NotifierType
ICID00030119,2017-07-05,Residues of Veterinary Medicinal Products,Meat & Meat Products (other than poultry),United Kingdom (GB),Public Analyst / Laboratory
ICID00030133,2017-07-02,Allergens,Cereals & Bakery Products ,United Kingdom (GB),Industry
ICID00030134,2017-07-03,Chemical Contamination (other),Cereals & Bakery Products ,Belgium (BE),Industry
ICID00030135,2017-07-03,Pathogenic Mico-Organisms,Other Food Product / Mixed,United Kingdom (GB),Public Health England (PHE)
ICID00030136,2017-07-03,Heavy Metals,Fish & Fish Products,Vietnam (VN),RASFF
ICID00030137,2017-07-03,Composition,Non-Alcoholic Beverages ,United States (US),Industry
ICID00030138,2017-07-03,Poor or Insufficient Controls,Poultry Meat & Poultry Meat Products ,Thailand (TH),Port Health Authority (PHA)
ICID00030139,2017-07-03,Mycotoxins,Nuts / Nut Products / Seeds,Turkey (TR),RASFF
ICID00030140,2017-07-04,Pathogenic Micro-Organisms,Milk & Milk Products,France (FR),RASFF
ICID00030141,2017-07-04,Mycotoxins,Nuts / Nut Products / Seeds,China (CX),Port Health Authority (PHA)
ICID00030142,2017-07-04,Allergens,Milk & Milk Products,United Kingdom (GB),Local Authority
ICID00030143,2017-07-04,Allergens,Milk & Milk Products,United Kingdom (GB),Local Authority
ICID00030144,2017-07-03,Labelling Absent / Incomplete / Incorrect,Confectionary,Netherlands (NL),Local Authority
ICID00030145,2017-07-04,Pathogenic Mico-Organisms,Milk & Milk Products,United Kingdom (GB),Public Health England (PHE)
ICID00030146,2017-07-04,Pathogenic Micro-Organisms,Milk & Milk Products,United Kingdom (GB),FSA Operations Group
ICID00030147,2017-07-04,Foreign Bodies,Prepared Dishes & Snacks,Belgium (BE),Industry
ICID00030148,2017-07-04,Clandestine Detection,Fruits & Vegetables ,Czech Republic (DO),Home Office / Border Force
ICID00030149,2017-07-05,Pathogenic Micro-Organisms,Meat & Meat Products (other than poultry),United Kingdom (GB),Animal and Plant Health Agency (APHA)
ICID00030150,2017-07-05,CHEMET,N/A,United Kingdom (GB),Fire Services
ICID00030151,2017-07-05,Packaging Defective/Incorrect,Cereals & Bakery Products,United Kingdom (GB),Industry
ICID00030152,2017-07-04,Poor or Insufficient Controls,Meat & Meat Products (other than poultry),United Kingdom (GB),Local Authority
ICID00030154,2017-07-06,Pathogenic Micro-Organisms,Pet Food,United Kingdom (GB),Animal and Plant Health Agency (APHA)
ICID00030155,2017-07-06,Pathogenic Micro-Organisms,Milk & Milk Products,France (FR),RASFF
ICID00030156,2017-07-06,Allergens,Dietetic Foods / Food Supplements / Fortified Foods ,Canada (CA),EU Member States 
ICID00030157,2017-07-06,Pathogenic Micro-Organisms,Herbs & Spices,Sri Lanka (LK),Local Authority
ICID00030158,2017-07-06,Food Additives & Flavourings,Dietetic Foods / Food Supplements / Fortified Foods ,United Kingdom (GB),FSA Operations Group
ICID00030159,2017-07-05,Pathogenic Micro-Organisms,Meat & Meat Products (other than poultry),United Kingdom (GB),Industry
ICID00030160,2017-07-06,CHEMET,N/A,United Kingdom (GB),Fire Services
ICID00030161,2017-07-06,Food Additives & Flavourings,Non-Alcoholic Beverages ,India (IN),Border Inspection Posts (BIPs)
ICID00030162,2017-07-06,Pathogenic Micro-Organisms,Poultry Meat & Poultry Meat Products,United Kingdom (GB),Industry
ICID00030163,2017-07-07,Heavy Metals,Meat & Meat Products (other than poultry),United Kingdom (GB),Animal and Plant Health Agency (APHA)
ICID00030164,2017-07-07,Heavy Metals,Meat & Meat Products (other than poultry),United Kingdom (GB),Animal and Plant Health Agency (APHA)
ICID00030165,2017-07-08,Clandestine Detection,Fruits & Vegetables,Greece (GR),Border Inspection Posts (BIPs)
ICID00030166,2017-07-08,Pathogenic Micro-Organisms,Poultry Meat & Poultry Meat Products ,Thailand (TH),Port Health Authority (PHA)
ICID00030167,2017-07-08,CHEMET,N/A,United Kingdom (GB),Fire Services
ICID00030168,2017-07-08,CHEMET,N/A,United Kingdom (GB),Fire Services
ICID00030169,2017-07-09,Clandestine Detection,Fruits & Vegetables,Greece (GR),Police
ICID00030170,2017-07-04,Clandestine Detection,Milk & Milk Products,Italy (IT),Home Office / Border Force
ICID00030171,2017-07-09,CHEMET,N/A,United Kingdom (GB),Fire Services
ICID00030172,2017-07-10,Clandestine Detection,Confectionary,Switzerland (CH),Home Office / Border Force
ICID00030173,2017-07-10,Labelling Absent / Incomplete / Incorrect,Confectionary,United Kingdom (GB),Administrative Assistance and Cooperation System (AAC) 
ICID00030174,2017-07-10,Composition,Other Food Product / Mixed,France (FR),Administrative Assistance and Cooperation System (AAC) 
ICID00030175,2017-07-07,Pathogenic Micro-Organisms,Milk & Milk Products,United Kingdom (GB),Local Authority
ICID00030176,2017-07-07,Composition,Dietetic Foods / Food Supplements / Fortified Foods ,United States (US),RASFF
ICID00030177,2017-07-10,Food Additives & Flavourings,Confectionary,Philippines (PH),RASFF
ICID00030178,2017-07-10,Clandestine Detection,Fruits & Vegetables,Austria (AT),Home Office / Border Force
ICID00030179,2017-07-11,Chemical Contamination (other),Feed Additives,Lithuaina (LT),Local Authority
ICID00030180,2017-07-07,Adulteration / Fraud,Fruits & Vegetables,United Kingdom (GB),General Public
ICID00030181,2017-07-11,Allergens,Prepared Dishes & Snacks,United Kingdom (GB),Industry
ICID00030182,2017-07-11,Pathogenic Micro-Organisms,Meat & Meat Products (other than poultry),Netherlands (NL),RASFF
ICID00030183,2017-07-11,Residues of Veterinary Medicinal Products,Meat & Meat Products (other than poultry),United Kingdom (GB),Public Analyst / Laboratory
ICID00030184,2017-07-11,Residues of Veterinary Medicinal Products,Meat & Meat Products (other than poultry),United Kingdom (GB),Public Analyst / Laboratory
ICID00030185,2017-07-11,Composition,Dietetic Foods / Food Supplements / Fortified Foods ,United States (US),RASFF
ICID00030186,2017-07-10,Poor or Insufficient Controls,Meat & Meat Products (other than poultry),China (CX),Port Health Authority (PHA)
ICID00030187,2017-07-11,Poor or Insufficient Controls,Nuts / Nut Products / Seeds,Nigeria (NG),Border Inspection Posts (BIPs)
ICID00030188,2017-07-11,CHEMET,N/A,United Kingdom (GB),Fire Services
ICID00030189,2017-07-12,Poor or insufficient controls,Fruits & Vegetables,Spain (ES),Border Inspection Posts (BIPs)
ICID00030190,2017-07-12,Pathogenic Micro-Organisms,Fruits & Vegetables,Netherlands (NL),RASFF
ICID00030191,2017-07-12,Pathogenic Micro-Organisms,Meat & Meat Products (other than poultry),United Kingdom (GB),Food Standards Scotland (FSS)
ICID00030192,2017-07-12,Composition,Dietetic Foods / Food Supplements / Fortified Foods ,United Kingdom (GB),Administrative Assistance and Cooperation System (AAC) 
ICID00030193,2017-07-12,Pathogenic Micro-Organisms,Poultry Meat & Poultry Meat Products ,United Kingdom (GB),Industry
ICID00030194,2017-07-12,Clandestine Detection,Fruits & Vegetables,Spain (ES),Home Office / Border Force
ICID00030195,2017-07-13,CHEMET,N/A,United Kingdom (GB),Marine Management Organisation (MMO)
ICID00030196,2017-07-13,Mycotoxins,Herbs & Spices,India (IN),Border Inspection Posts (BIPs)
