UniqueReferenceNumber(URN) ,IncidentDate,IncidentCategory,ProductType,ProductOriginCountry ,NotifierType
ICID00034938,2019-07-01,Allergens,Fruits & Vegetables,South Africa (ZA),Local Authority
ICID00034939,2019-07-02,Clandestine Detection,Fruits & Vegetables,Spain (ES),Home Office / Border Force
ICID00034940,2019-07-02,Clandestine Detection,Confectionery,Romania (RO),Home Office / Border Force
ICID00034941,2019-07-02,Food Additives & Flavourings,Food Additives & Flavourings,United Kingdom (GB),Industry
ICID00034942,2019-07-03,Pesticide Residues,Nuts / Nut Products / Seeds,India (IN),European Commission (EC)
ICID00034943,2019-07-03,Labelling Absent / Incomplete / Incorrect,Dietetic Foods / Food Supplements / Fortified Foods,United Kingdom (GB),General Public
ICID00034944,2019-07-03,Clandestine Detection,Fruits & Vegetables,Spain (ES),Home Office / Border Force
ICID00034945,2019-07-03,Novel Food,Dietetic Foods / Food Supplements / Fortified Foods,United States (US),Local Authority
ICID00034946,2019-07-03,Allergens,Prepared Dishes & Snacks,United Kingdom (GB),Local Authority
ICID00034947,2019-07-03,Allergens,Prepared Dishes & Snacks,United Kingdom (GB),Local Authority
ICID00034948,2019-07-03,Pesticide Residues,Cocoa / Cocoa Preparations / Coffee / Tea,China (CX),Border Inspection Posts (BIPs)
ICID00034949,2019-07-03,Pathogenic Micro-Organisms,Feed Materials,United Kingdom (GB),RASFF
ICID00034950,2019-07-02,Mycotoxins,Herbs & Spices,India (IN),Border Inspection Posts (BIPs)
ICID00034951,2019-07-04,Labelling Absent / Incomplete / Incorrect,Prepared Dishes & Snacks,United Kingdom (GB),Industry
ICID00034952,2019-07-03,Allergens,Prepared Dishes & Snacks,United Kingdom (GB),Local Authority
ICID00034953,2019-07-04,Pathogenic Micro-Organisms,Meat & Meat Products (other than poultry),United Kingdom (GB),Public Health England (PHE)
ICID00034954,2019-07-04,Poor or Insufficient Controls,Meat & Meat Products (other than poultry),United Kingdom (GB),Local Authority
ICID00034955,2019-07-04,Labelling Absent / Incomplete / Incorrect,Dietetic Foods / Food Supplements / Fortified Foods,United Kingdom (GB),Administrative Assistance & Cooperation System (AAC)
ICID00034956,2019-07-04,Residues of Veterinary Medicinal Products,Meat & Meat Products (other than poultry),United Kingdom (GB),Department of Agriculture & Rural Development (DARD)
ICID00034957,2019-07-04,Labelling Absent / Incomplete / Incorrect,Cocoa / Cocoa Preparations / Coffee / Tea,Uganda (UG),Administrative Assistance & Cooperation System (AAC)
ICID00034958,2019-07-04,Allergens,Milk & Milk Products,United Kingdom (GB),FSA Wales (FSAW)
ICID00034959,2019-07-04,Packaging Defective / Incorrect,Feed Materials,United Kingdom (GB),Local Authority
ICID00034960,2019-07-04,Allergens,Dietetic Foods / Food Supplements / Fortified Foods,Poland (PL),RASFF
ICID00034961,2019-07-04,Labelling Absent / Incomplete / Incorrect,Fruits & Vegetables,United Kingdom (GB),Industry
ICID00034962,2019-07-03,CHEMET,N/A,United Kingdom (GB),Met Office
ICID00034963,2019-07-04,Heavy Metals,Meat & Meat Products (other than poultry),United Kingdom (GB),Animal & Plant Health Agency (APHA)
ICID00034964,2019-07-04,Heavy Metals,Meat & Meat Products (other than poultry),United Kingdom (GB),Animal & Plant Health Agency (APHA)
ICID00034965,2019-07-04,CHEMET,N/A,United Kingdom (GB),Fire Services
ICID00034966,2019-07-04,Novel Food,Dietetic Foods / Food Supplements / Fortified Foods,United Kingdom (GB),RASFF
ICID00034967,2019-07-04,Heavy Metals,Meat & Meat Products (other than poultry),United Kingdom (GB),Animal & Plant Health Agency (APHA)
ICID00034968,2019-07-04,Composition,Meat & Meat Products (other than poultry),United Kingdom (GB),Food Standards Scotland (FSS)
ICID00034969,2019-07-04,Pathogenic Micro-Organisms,Poultry Meat & Poultry Meat Products,Poland (PL),RASFF
ICID00034970,2019-07-04,Composition,Dietetic Foods / Food Supplements / Fortified Foods,United Kingdom (GB),RASFF
ICID00034971,2019-07-04,Clandestine Detection,Milk & Milk Products,N/A,Home Office / Border Force
ICID00034972,2019-07-05,Poor or Insufficient Controls,Meat & Meat Products (other than poultry),United Kingdom (GB),General Public
ICID00034973,2019-07-05,Pesticide Residues,Fruits & Vegetables,Pakistan (PK),Port Health Authority (PHA)
ICID00034974,2019-07-05,Novel food,Dietetic Foods / Food Supplements / Fortified Foods,United Kingdom (GB),European Commission (EC)
ICID00034975,2019-07-05,Residues of Veterinary Medicinal Products,Meat & Meat Products (other than poultry),United Kingdom (GB),Veterinary Medicines Directorate
ICID00034976,2019-07-05,Allergens,Soups / Broths / Sauces & Condiments,China (CX),Local Authority
ICID00034977,2019-07-05,Pathogenic Micro-Organisms,Meat & Meat Products (other than poultry),United Kingdom (GB),FSA Field Operations - FVC
ICID00034978,2019-07-05,Allergens,Prepared Dishes & Snacks,United Kingdom (GB),Industry
ICID00034979,2019-07-05,Pathogenic Micro-Organisms,Milk & Milk Products,France (FR),RASFF
ICID00034980,2019-07-05,Non-Pathogenic Micro-Organisims,Milk & Milk Products,France (FR),EU Member States
ICID00034981,2019-07-05,Food Additives & Flavourings,Non-Alcoholic Beverages,Nigeria (NG),EU Member States
ICID00034982,2019-07-06,CHEMET,N/A,United Kingdom (GB),Met Office
ICID00034983,2019-07-06,Clandestine Detection,Milk & Milk Products,Greece (GR),Home Office / Border Force
ICID00034984,2019-07-06,Poor or Insufficient Controls,Poultry Meat & Poultry Meat Products,United Kingdom (GB),Industry
ICID00034985,2019-07-07,Poor or Insufficient Controls,Meat & Meat Products (other than poultry),United Kingdom (GB),Industry
ICID00034986,2019-07-08,Pathogenic Micro-Organisms,Fruits & Vegetables,United Kingdom (GB),Industry
ICID00034988,2019-07-08,CHEMET,N/A,United Kingdom (GB),Fire Services
ICID00034989,2019-07-08,Not Determined / Other,Cereals & Bakery Products,Nigeria (NG),Border Inspection Posts (BIPs)
ICID00034990,2019-07-08,Foreign Bodies,Meat & Meat Products (other than poultry),United Kingdom (GB),Local Authority
ICID00034991,2019-07-08,Novel food,Cereals & Bakery Products,China (CX),Border Inspection Posts (BIPs)
ICID00034992,2019-07-08,Pathogenic Micro-Organisms,Meat & Meat Products (other than poultry),Poland (PL),RASFF
ICID00034993,2019-07-08,Migration,Food Contact Materials,China (CX),RASFF
ICID00034994,2019-07-08,Heavy Metals,Meat & Meat Products (other than poultry),United Kingdom (GB),Department of Agriculture & Rural Development (DARD)
ICID00034995,2019-07-08,Labelling Absent / Incomplete / Incorrect,Nuts / Nut Products / Seeds,Ghana (GH),Border Inspection Posts (BIPs)
ICID00034996,2019-07-08,Poor or Insufficient Controls,Nuts / Nut Products / Seeds,Ghana (GH),Border Inspection Posts (BIPs)
ICID00034997,2019-07-08,Allergens,Soups / Broths / Sauces & Condiments,South Korea (KR),RASFF
ICID00034998,2019-07-08,Clandestine Detection,Fruits & Vegetables,Spain (ES),Home Office / Border Force
ICID00034999,2019-07-09,Labelling Absent / Incomplete / Incorrect,Nuts / Nut Products / Seeds,Ghana (GH),Border Inspection Posts (BIPs)
ICID00035000,2019-07-09,Foreign Bodies,Fish & Fish Products,United Kingdom (GB),EU Member States
ICID00035001,2019-07-03,Adulteration / Fraud,Nuts / Nut Products / Seeds,Nigeria (NG),European Commission (EC)
ICID00035002,2019-07-09,Allergens,Prepared Dishes & Snacks,United Kingdom (GB),Local Authority
ICID00035003,2019-07-09,Mycotoxins,Nuts / Nut Products / Seeds,United States (US),Border Inspection Posts (BIPs)
ICID00035004,2019-07-04,Clandestine Detection,Fruits & Vegetables,Spain (ES) Spain (ES),Local Authority
ICID00035005,2019-07-09,Poor or Insufficient Controls,Prepared Dishes & Snacks,United Kingdom (GB),General Public
ICID00035006,2019-07-09,Composition,Feed Materials,United Kingdom (GB),Administrative Assistance & Cooperation System (AAC)
ICID00035007,2019-07-09,Foreign Bodies,Meat & Meat Products (other than poultry) ,United Kingdom (GB),Industry
ICID00035008,2019-07-09,Biocontaminants,Milk & Milk Products,United Kingdom (GB),Local Authority
ICID00035009,2019-07-09,Pesticide Residues,Dietetic Foods / Food Supplements / Fortified Foods,China (CX),Home Office / Border Force
ICID00035010,2019-07-09,Novel Food,Dietetic Foods / Food Supplements / Fortified Foods,United Kingdom (GB),European Commission (EC)
ICID00035011,2019-07-10,Allergens,Meat & Meat Products (other than poultry) ,United Kingdom (GB),Local Authority
ICID00035012,2019-07-09,Chemical Contamination (other),Dietetic Foods / Food Supplements / Fortified Foods,France (FR),RASFF
ICID00035013,2019-07-10,Allergens,Fruits & Vegetables,United Kingdom (GB),Local Authority
ICID00035014,2019-07-10,Mycotoxins,Nuts / Nut Products / Seeds,Burkina Faso (BF),European Commission (EC)
ICID00035015,2019-07-10,Labelling Absent / Incomplete / Incorrect,Fish & Fish Products,Ghana (GH),Port Health Authority (PHA)
ICID00035016,2019-07-10,Chemical Contamination (other),Food Contact Materials,China (CX),RASFF
ICID00035017,2019-07-10,Labelling Absent / Incomplete / Incorrect,Fish & Fish Products,Ghana (GH),Port Health Authority (PHA)
ICID00035018,2019-07-10,Foreign Bodies,Meat & Meat Products (other than poultry),United Kingdom (GB),FSA Northern Ireland (FSANI)
ICID00035019,2019-07-10,Poor or Insufficient Controls,Fish & Fish Products,Ghana (GH),Local Authority
ICID00035020,2019-07-10,Labelling Absent / Incomplete / Incorrect,Fish & Fish Products,Ghana (GH),Port Health Authority (PHA)
ICID00035021,2019-07-09,Labelling Absent / Incomplete / Incorrect,Dietetic Foods / Food Supplements / Fortified Foods,United Kingdom (GB),RASFF
ICID00035022,2019-07-10,Labelling Absent / Incomplete / Incorrect,Fish & Fish Products,Ecuador (EC),Port Health Authority (PHA)
ICID00035023,2019-07-10,Mycotoxins,Fruits & Vegetables,Sri Lanka (LK),Border Inspection Posts (BIPs)
ICID00035024,2019-07-10,Allergens,Fats & Oils,Denmark (DK),Local Authority
ICID00035025,2019-07-10,Labelling Absent / Incomplete / Incorrect,Fish & Fish Products,Ghana (GH),Port Health Authority (PHA)
ICID00035026,2019-07-10,Novel Food,Feed Materials,United Kingdom (GB),RASFF
ICID00035027,2019-07-10,Allergens,Confectionery,Belgium (BE),RASFF
ICID00035028,2019-07-10,Clandestine Detection,Fruits & Vegetables,Spain (ES),Home Office / Border Force
ICID00035029,2019-07-09,Clandestine Detection,Fruits & Vegetables,Spain (ES),Home Office / Border Force
ICID00035030,2019-07-10,Poor or Insufficient Controls,Fish & Fish Products,Ghana (GH),Port Health Authority (PHA)
ICID00035031,2019-07-10,Composition,Food Additives & Flavourings,United Kingdom (GB),National Health Service (NHS)
ICID00035032,2019-07-10,Residues of Veterinary Medicinal Products,Meat & Meat Products (other than poultry),United Kingdom (GB),Veterinary Medicines Directorate
ICID00035033,2019-07-10,Labelling Absent / Incomplete / Incorrect,Fats & Oils,Ghana (GH),Port Health Authority (PHA)
ICID00035034,2019-07-10,Residues of Veterinary Medicinal Products,Meat & Meat Products (other than poultry),United Kingdom (GB),Veterinary Medicines Directorate
ICID00035035,2019-07-10,Residues of Veterinary Medicinal Products,Meat & Meat Products (other than poultry),United Kingdom (GB),Veterinary Medicines Directorate
ICID00035036,2019-07-10,Clandestine Detection,Fruits & Vegetables,Spain (ES),Police
ICID00035037,2019-07-11,Labelling Absent / Incomplete / Incorrect,Nuts / Nut Products / Seeds,Ghana (GH),Port Health Authority (PHA)
ICID00035038,2019-07-11,Labelling Absent / Incomplete / Incorrect,Fish & Fish Products,Ghana (GH),Port Health Authority (PHA)
ICID00035039,2019-07-11,Allergens,Cereals & Bakery Products,United Kingdom (GB),Local Authority
ICID00035040,2019-07-11,CHEMET,N/A,United Kingdom (GB),Environment Agency (EA)
ICID00035041,2019-07-11,Composition,Cereals & Bakery Products,China (CX),Port Health Authority (PHA)
ICID00035042,2019-07-11,Clandestine Detection,N/A,N/A,Home Office / Border Force
ICID00035043,2019-07-11,Allergens,Confectionery,United Kingdom (GB),Local Authority
ICID00035044,2019-07-11,Allergens,Meat & Meat Products (other than poultry),United Kingdom (GB),Local Authority
ICID00035045,2019-07-11,CHEMET,N/A,United Kingdom (GB),Environment Agency (EA)
ICID00035046,2019-07-11,CHEMET,N/A,United Kingdom (GB),Met Office
ICID00035047,2019-07-11,Pathogenic Micro-Organisms,Feed Materials,United Kingdom (GB),Industry
ICID00035048,2019-07-11,Foreign Bodies,Dietetic Foods / Food Supplements / Fortified Foods,Belgium (BE),EU Member States
ICID00035049,2019-07-11,Mycotoxins,Nuts / Nut Products / Seeds,Argentina (AR),Border Inspection Posts (BIPs)
ICID00035050,2019-07-12,Pathogenic Micro-Organisms,Pet Food,United Kingdom (GB),Port Health Authority (PHA)
ICID00035051,2019-07-12,Foreign Bodies,Nuts / Nut Products / Seeds,United Kingdom (GB),EU Member States
ICID00035052,2019-07-12,Poor or Insufficient Controls,Fish & Fish Products,Ghana (GH),Border Inspection Posts (BIPs)
ICID00035053,2019-07-12,Clandestine Detection,Non-Alcoholic Beverages,Austria (AT),Home Office / Border Force
ICID00035054,2019-07-12,Labelling Absent / Incomplete / Incorrect,Meat & Meat Products (other than poultry),United Kingdom (GB),Administrative Assistance & Cooperation System (AAC)
ICID00035055,2019-07-12,Chemical Contamination (other),Confectionery,United Kingdom (GB),European Commission (EC)
ICID00035056,2019-07-12,Pathogenic Micro-Organisms,Egg & Egg Products,France (FR),RASFF
ICID00035057,2019-07-12,Allergens,Cereals & Bakery Products,United Kingdom (GB),Local Authority
