UniqueReferenceNumber(URN) ,IncidentDate,IncidentCategory,ProductType,ProductOriginCountry,NotifierType
ICID00029878,2017-06-22,Residues of Veterinary Medicinal Products,Meat & Meat Products (other than poultry),United Kingdom (GB),Public Analyst / Laboratory
ICID00029941,2017-06-01,Allergens,Ices & Desserts,United Kingdom (GB),Industry
ICID00029942,2017-06-01,Allergens,Confectionery,United Kingdom (GB),Local Authority
ICID00029943,2017-06-01,Clandestine Detection,Cereals & Bakery Products,France (FR),Home Office / Border Force
ICID00029944,2017-06-01,Clandestine Detection,Cereals & Bakery Products,France (FR),Home Office / Border Force
ICID00029945,2017-06-02,Pathogenic Micro-Organisms,Bilvalve Molluscs & Products Thereof,United Kingdom (GB),RASFF
ICID00029946,2017-06-02,Allergens,Alcoholic Beverages,United Kingdom (GB),Industry
ICID00029947,2017-06-02,Pesticide Residues,Non-Alcoholic Beverages ,China (CX),Port Health Authority (PHA)
ICID00029948,2017-06-02,Residues of Veterinary Medicinal Products,Meat & Meat Products (other than poultry),United Kingdom (GB),Animal and Plant Health Agency (APHA)
ICID00029949,2017-06-02,Residues of Veterinary Medicinal Products,Meat & Meat Products (other than poultry),United Kingdom (GB),Animal and Plant Health Agency (APHA)
ICID00029950,2017-06-02,Pathogenic Micro-Organisms,Poultry Meat & Poultry Meat Products,Brazil (BR),Border Inspection Posts (BIPs)
ICID00029952,2017-06-03,Clandestine Detection,Fruit & Vegetables,France (FR),Border Inspection Posts (BIPs)
ICID00029953,2017-06-03,Pathogenic Micro-Organisms,Meat & Meat Products (other than poultry),United Kingdom (GB),Public Health England (PHE)
ICID00029954,2017-06-04,Clandestine Detection,Fruits & Vegetables,Spain (ES),Police
ICID00029956,2017-06-01,Novel Food,Dietetic foods / Food Supplements / Fortified Foods,United States (US),RASFF
ICID00029957,2017-06-05,Foreign Bodies,Fruit & Vegetables,United Kingdom (GB),General Public
ICID00029958,2017-06-05,Composition,Non-Alcoholic Beverages ,Bulgaria (BG),Local Authority
ICID00029959,2017-06-05,Poor or Insufficient Controls,Herbs & Spices,India (IN),Port Health Authority (PHA)
ICID00029960,2017-06-06,Clandestine Detection,Fruit & Vegetables,Spain (ES),Home Office / Border Force
ICID00029962,2017-06-06,Pathogenic Micro-Organisms,Poultry Meat & Poultry Meat Products,Brazil (BR),Border Inspection Posts (BIPs)
ICID00029963,2017-06-06,Mycotoxins,Meat & Meat Products (other than poultry),United Kingdom (GB),RASFF
ICID00029964,2017-06-06,Poor or Insufficient Controls,Fruit & Vegetables,Nigeria (NG),Border Inspection Posts (BIPs)
ICID00029965,2017-06-06,Mycotoxins ,Meat & Meat Products (other than poultry),United Kingdom (GB),Food Standards Scotland (FSS)
ICID00029966,2017-06-06,Migration,Food Contact Materials,China (CX),RASFF
ICID00029967,2017-06-01,Pathogenic Micro-Organisms,Meat & Meat Products (other than poultry),Uruguay (UY),Animal and Plant Health Agency (APHA)
ICID00029968,2017-06-06,Allergens,Herbs & Spices,United Kingdom (GB),General Public
ICID00029969,2017-06-06,Pathogenic Micro-Organisms,Meat & Meat Products (other than poultry),United Kingdom (GB),Animal and Plant Health Agency (APHA)
ICID00029970,2017-06-06,CHEMET,N/A,United Kingdom (GB),Water Company
ICID00029971,2017-06-07,Pathogenic Micro-Organisms,Poultry Meat & Poultry Meat Products,Brazil (BR),Port Health Authority (PHA)
ICID00029972,2017-06-07,Clandestine Detection,Milk & Milk Products,France (FR),Home Office / Border Force
ICID00029973,2017-06-06,Allergens,Cereals & Bakery Products,United Kingdom (GB),Local Authority
ICID00029974,2017-06-07,Poor or Insufficient Controls,Fish & Fish Products,Maldives (MV),Border Inspection Posts (BIPs)
ICID00029975,2017-06-07,Pathogenic Micro-Organisms,Meat & Meat Products (other than poultry),Austailia (AU),RASFF
ICID00029976,2017-06-07,Poor or Insufficient Controls,Crustaceans & Products Thereof,Indonesia (ID),Border Inspection Posts (BIPs)
ICID00029977,2017-06-07,Allergens,Soups /  Broths / Sauces & Condiments,United Kingdom (GB),Industry
ICID00029978,2017-06-07,Composition,Dietetic Food / Food Supplements / Fortified Foods,United States (US),RASFF
ICID00029979,2017-06-07,Labelling Absent / Incomplete / Incorrect,Meat & Meat Products (other than poultry),United Kingdom (GB),Administrative Assistance and Cooperation System (AAC) 
ICID00029981,2017-06-08,Migration,Food Contact Materials,United Kingdom (GB),Administrative Assistance and Cooperation System (AAC) 
ICID00029982,2017-06-08,Clandestine Detection,Alcoholic Beverages,France (FR),Border Inspection Posts (BIPs)
ICID00029983,2017-06-08,Pathogenic Micro-Organisms,Meat & Meat Products (other than poultry),Argentina (AR),RASFF
ICID00029984,2017-06-08,Pathogenic Micro-Organisms,Confectionery,United Kingdom (GB),Industry
ICID00029985,2017-06-09,Allergens,Alcoholic Beverages,New Zealand (NZ),European Commission (EC)
ICID00029986,2017-06-09,Poor or Insufficient Controls,Meat & Meat Products (other than poultry),United Kingdom (GB),FSA Operations Group
ICID00029987,2017-06-08,Poor or Insufficient Controls,Prepared Dishes & Snacks,United Kingdom (GB),General Public
ICID00029988,2017-06-09,Pathogenic Micro-Organisms,Poultry Meat & Poultry Meat Products,Bosnia & Herzegovina (BA),Border Inspection Posts (BIPs)
ICID00029989,2017-06-09,Allergens,Meat & Meat Products (other than poultry),United Kingdom (GB),Local Authority
ICID00029990,2017-06-09,Clandestine Detection,Fruit & Vegetables,Netherlands (NL),Home Office / Border Force
ICID00029991,2017-06-11,CHEMET,N/A,United Kingdom (GB),Fire Services
ICID00029992,2017-06-11,CHEMET,N/A,United Kingdom (GB),Fire Services
ICID00029993,2017-06-11,CHEMET,N/A,United Kingdom (GB),Fire Services
ICID00029994,2017-06-10,Clandestine Detection,Non-Alcoholic Beverages ,Germany (DE),Home Office / Border Force
ICID00029995,2017-06-10,Clandestine Detection,Fruit & Vegetables,Spain (ES),Home Office / Border Force
ICID00029998,2017-06-13,Organoleptic Aspects,Dietetic Food / Food Supplements / Fortified Foods,United Kingdom (GB),Medicines and Healthcare Products Regulatory Agency (MHRA)
ICID00029999,2017-06-09,Allergens,Fruit & Vegetables,China (CX),Local Authority
ICID00030000,2017-06-13,Migration,Food Contact Materials,China (CX),RASFF
ICID00030001,2017-06-13,Pathogenic Micro-Organisms,Prepared Dishes & Snacks,United Kingdom (GB),Food Standards Scotland (FSS)
ICID00030002,2017-06-13,Residues of Veterinary Medicinal Products,Meat & Meat Products (other than poultry),United Kingdom (GB),Public Analyst / Laboratory
ICID00030003,2017-06-13,Residues of Veterinary Medicinal Products,Meat & Meat Products (other than poultry),United Kingdom (GB),Public Analyst / Laboratory
ICID00030004,2017-06-13,Residues of Veterinary Medicinal Products,Meat & Meat Products (other than poultry),United Kingdom (GB),Public Analyst / Laboratory
ICID00030005,2017-06-13,Composition,Dietetic Food / Food Supplements / Fortified Foods,Cyprus (CY),Local Authority
ICID00030006,2017-06-13,Pathogenic Micro-Organisms,Poultry Meat & Poultry Meat Products,Brazil (BR),Border Inspection Posts (BIPs)
ICID00030007,2017-06-05,Pesticide Residues,Fruit & Vegetables,Dominican Republic (DO),Border Inspection Posts (BIPs)
ICID00030008,2017-06-13,Residues of Veterinary Medicinal Products,Meat & Meat Products (other than poultry),United Kingdom (GB),Laboratory
ICID00030009,2017-06-13,Poor or Insufficient Controls,Dietetic Food / Food Supplements / Fortified Foods,United Kingdom (GB),General Public
ICID00030010,2017-06-13,Composition,Dietetic Food / Food Supplements / Fortified Foods,Canada (CA),RASFF
ICID00030011,2017-06-14,CHEMET,N/A,United Kingdom (GB),Fire Services
ICID00030012,2017-06-12,Allergens,Cereals & Bakery Products,United Kingdom (GB),Local Authority
ICID00030013,2017-06-14,Poor or Insufficient Controls,Nuts / Nut Products / Seeds,India (IN),Port Health Authority (PHA)
ICID00030014,2017-06-14,Residues of Veterinary Medicinal Products,Meat & Meat Products (other than poultry),United Kingdom (GB),Laboratory
ICID00030015,2017-06-14,Labelling Absent / Incomplete / Incorrect,Fish & Fish Products,Poland (PL),Industry
ICID00030016,2017-06-14,Chemical Contamination (other),Fish & Fish Products,Vietnam (VN),RASFF
ICID00030017,2017-06-14,Pathogenic Micro-Organisims ,Poultry Meat & Poultry Meat Products,Brazil (BR),Border Inspection Posts (BIPs)
ICID00030018,2017-06-14,Labelling Abesent/Incomplete/Incorrect,Cereals & Bakery Products,Spain (ES),RASFF
ICID00030019,2017-06-15,Pathogenic Micro-Organisms,Meat & Meat Products (other than poultry),United Kingdom (GB),Animal and Plant Health Agency (APHA)
ICID00030020,2017-06-15,Poor or Insufficient Controls,Fish & Fish Products,Papua New Guinea (PG),Border Inspection Posts (BIPs)
ICID00030021,2017-06-13,Composition,Dietetic Food / Food Supplements / Fortified Foods,United States (US),EU Member States
ICID00030022,2017-06-15,Poor or Insufficient Controls,Cereals & Bakery Products,United Kingdom (GB),Local Authority
ICID00030024,2017-06-15,Chemical Contamination (other),Fats & Oils,United Kingdom (GB),RASFF
ICID00030025,2017-06-15,Clandestine Detection,Cereals & Bakery Products,Hungary (HU),Home Office / Border Force
ICID00030026,2017-06-15,CHEMET,N/A,United Kingdom (GB),Fire Services
ICID00030027,2017-06-16,Clandestine Detection,Fruit & Vegetables,Spain (ES),Police
ICID00030028,2017-06-16,CHEMET,N/A,United Kingdom (GB),Fire Services
ICID00030029,2017-06-16,Allergens,Meat & Meat Products (other than poultry),United Kingdom (GB),Industry
ICID00030030,2017-06-16,Chemical Contamination (other),Fish & Fish Products,France (FR),RASFF
