UniqueReferenceNumber(URN) ,IncidentDate,IncidentCategory,ProductType,ProductOriginCountry ,NotifierType
ICID00032351,2018-06-01,Clandestine Detection,Cereals & Bakery Products,Germany (DE),EU Member States
ICID00032352,2018-06-01,Pathogenic Micro-Organisms,Other Food Product / Mixed ,United Kingdom (GB),Local Authority
ICID00032353,2018-06-01,Chemical Contamination (other),Fats & Oils,Netherlands (NL),Local Authority
ICID00032354,2018-06-01,Poor or Insufficient Controls,Crustaceans & Products Thereof,Sri Lanka (LK),Border Inspection Posts (BIPs)
ICID00032355,2018-06-01,Pathogenic Micro-Organisms,Feed Materials,Sweden (SE),Food Standards Scotland (FSS)
ICID00032356,2018-06-01,Pathogenic Micro-Organisms,Milk & Milk Products,United Kingdom (GB),Local Authority
ICID00032357,2018-06-01,Foreign Bodies,Confectionery,Netherlands (NL),Industry
ICID00032358,2018-06-02,Foreign Bodies,Prepared Dishes & Snacks,United Kingdom (GB),Industry
ICID00032359,2018-06-04,Poor or Insufficient Controls,Fish & Fish Products,Russian Federation (RU),Port Health Authority (PHA)
ICID00032360,2018-06-04,Poor or Insufficient Controls,Fish & Fish Products,Russian Federation (RU),Port Health Authority (PHA)
ICID00032361,2018-06-04,Poor or Insufficient Controls,Fish & Fish Products,Russian Federation (RU),Port Health Authority (PHA)
ICID00032362,2018-06-04,Foreign Bodies,Confectionery,United Kingdom (GB),Industry
ICID00032363,2018-06-04,Allergens,Cereals & Bakery Products,United Kingdom (GB),Local Authority
ICID00032364,2018-06-04,Mycotoxins,Nuts / Nut products / Seeds,Gambia (GM),Port Health Authority (PHA)
ICID00032365,2018-06-04,Chemical Contamination (other),Fats & Oils,United Kingdom (GB),Local Authority
ICID00032366,2018-06-04,Allergens,Meat & Meat Products (other than poultry),United Kingdom (GB),Local Authority
ICID00032367,2018-06-04,Allergens,Cereals & Bakery Products,India (IN),Industry
ICID00032368,2018-06-04,Mycotoxins,Nuts / Nut products / Seeds,Zambia (ZM),Border Inspection Posts (BIPs)
ICID00032369,2018-06-05,Allergens,Other Food Product / Mixed,India (IN),Industry
ICID00032370,2018-06-05,Heavy Metals,Dietetic Foods / Food Supplements / Fortified Foods,United States (US),RASFF
ICID00032371,2018-06-04,Poor or Insufficient Controls,Meat & Meat Products (other than poultry),United Kingdom (GB),Local Authority
ICID00032374,2018-06-05,Labelling Absent / Incomplete / Incorrect,Cereals & Bakery Products,Switzerland (CH),Local Authority
ICID00032375,2018-06-05,Pathogenic Micro-Organisms,Poultry Meat & Poultry Meat Products,Belgium (BE),RASFF
ICID00032376,2018-06-05,Poor or Insufficient Controls,Other Food Product / Mixed,United Kingdom (GB),Industry
ICID00032377,2018-06-05,Foreign Bodies,Cereals & Bakery Products,Italy (IT),Local Authority
ICID00032378,2018-06-05,Labelling Absent / Incomplete / Incorrect,Confectionery,Denmark (DK),Local Authority
ICID00032379,2018-06-05,Pathogenic Micro-Organisms,Cereals & Bakery Products,United Kingdom (GB),Industry
ICID00032380,2018-06-05,Labelling Absent / Incomplete / Incorrect,Cereals & Bakery Products,France (FR),Local Authority
ICID00032381,2018-06-06,Poor or Insufficient Controls,Fish & Fish Products,Vietnam (VN),Port Health Authority (PHA)
ICID00032382,2018-06-06,Pathogenic Micro-Organisms,Dietetic Foods / Food Supplements / Fortified Foods,United Kingdom (GB),EU Member States
ICID00032383,2018-06-06,Allergens,Cereals & Bakery Products,United Kingdom (GB),Local Authority
ICID00032384,2018-06-06,Food Additives & Flavourings,Confectionery,China (CX),Port Health Authority (PHA)
ICID00032385,2018-06-06,Non-Pathogenic Micro-Organisims,Crustaceans & Products Thereof,United Kingdom (GB),Local Authority
ICID00032386,2018-06-07,Clandestine Detection,Milk & Milk Products,Romania (RO),Home Office / Border Force
ICID00032387,2018-06-06,Parasitic Infestation,Meat & Meat Products (other than poultry),United Kingdom (GB),FSA Operations Group
ICID00032388,2018-06-07,Allergens,Confectionery,Ireland (IE),EU Member States
ICID00032389,2018-06-07,Poor or Insufficient Controls,Fish & Fish Products,United Kingdom (GB),Administrative Assistance & Cooperation System (AAC)
ICID00032390,2018-06-07,Mycotoxins,Nuts / Nut products / Seeds,Gambia (GM),Border Inspection Posts (BIPs)
ICID00032391,2018-06-07,Heavy Metals,Feed Materials,United Kingdom (GB),Department of Agriculture & Rural Development (DARD)
ICID00032392,2018-06-07,Mycotoxins,Nuts / Nut products / Seeds,Gambia (GM),Border Inspection Posts (BIPs)
ICID00032393,2018-06-07,Pathogenic Micro-Organisms,Egg & Egg Products,Belgium (BE),RASFF
ICID00032394,2018-06-07,Allergens,Cereals & Bakery Products,United Kingdom (GB),Local Authority
ICID00032395,2018-06-07,Adulteration / Fraud,Meat & Meat Products (other than poultry),United Kingdom (GB),Local Authority
ICID00032396,2018-06-07,Non-Pathogenic Micro-Organisims,Herbs & Spices,Egypt (EG),European Commission
ICID00032397,2018-06-07,Novel Food,Dietetic Foods / Food Supplements / Fortified Foods,Spain (ES),RASFF
ICID00032398,2018-06-08,Allergens,Meat & Meat Products (other than poultry),United Kingdom (GB),Industry
ICID00032399,2018-06-08,Poor or Insufficient Controls,Poultry Meat & Poultry Meat Products,United Kingdom (GB),Industry
ICID00032400,2018-06-08,Labelling Absent / Incomplete / Incorrect,Prepared Dishes & Snacks,United Kingdom (GB),Industry
ICID00032401,2018-06-07,Poor or Insufficient Controls,Dietetic Foods / Food Supplements / Fortified Foods,United Kingdom (GB),General Public
