UniqueReferenceNumber(URN) ,IncidentDate,IncidentCategory,ProductType,ProductOriginCountry,NotifierType
ICID00031719,2018-03-01,Pesticide Residues,Fruits & Vegetables,India (IN),RASFF
ICID00031720,2018-03-01,Residues of Veterinary Medicinal Products,Meat & Meat Products (other than poultry),United Kingdom (GB),Public Analyst / Laboratory
ICID00031721,2018-03-01,Residues of Veterinary Medicinal Products,Meat & Meat Products (other than poultry),United Kingdom (GB),Veterinary Medicines Directorate
ICID00031722,2018-03-01,Foreign Bodies,Meat & Meat Products (other than poultry),United Kingdom (GB),Local Authority
ICID00031723,2018-03-01,Residues of Veterinary Medicinal Products,Meat & Meat Products (other than poultry),United Kingdom (GB),Veterinary Medicines Directorate
ICID00031724,2018-03-01,Pesticide Residues,Fruits & Vegetables,India (IN),Administrative Assistance and Cooperation System (AAC) 
ICID00031725,2018-03-01,Pesticide Residues,Herbs & Spices,India (IN),Administrative Assistance and Cooperation System (AAC) 
ICID00031726,2018-03-01,Allergens,Prepared Dishes & Snacks,United Kingdom (GB),Local Authority
ICID00031727,2018-03-01,Residues of Veterinary Medicinal Products,Meat & Meat Products (other than poultry),United Kingdom (GB),Veterinary Medicines Directorate
ICID00031728,2018-03-01,Labelling Absent / Incomplete / Incorrect,Fats & Oils,United Kingdom (GB),Administrative Assistance and Cooperation System (AAC) 
ICID00031729,2018-03-01,Pesticide Residues,Fruits & Vegetables,Dominican Republic (DO),Border Inspection Posts (BIPs)
ICID00031730,2018-03-02,Mycotoxins,Fruits & Vegetables,Turkey (TR),RASFF
ICID00031731,2018-03-02,Foreign Bodies,Ices & Desserts,United Kingdom (GB),Industry
ICID00031733,2018-03-02,Pathogenic Micro-Organisms,Poultry Meat & Poultry Meat Products,Germany (DE),RASFF
ICID00031734,2018-03-02,Allergens,Confectionery,United Kingdom (GB),Industry
ICID00031735,2018-03-02,Pathogenic Micro-Organisms,Poultry Meat & Poultry Meat Products,Germany (DE),RASFF
ICID00031736,2018-03-02,Labelling Absent / Incomplete / Incorrect,Meat & Meat Products (other than poultry),United Kingdom (GB),National Food Crime Unit (NFCU)
ICID00031737,2018-03-04,Residues of Veterinary Medicinal Products,Meat & Meat Products (other than poultry),United Kingdom (GB),Veterinary Medicines Directorate
ICID00031738,2018-03-04,Residues of Veterinary Medicinal Products,Meat & Meat Products (other than poultry),United Kingdom (GB),Veterinary Medicines Directorate
ICID00031739,2018-03-04,Residues of Veterinary Medicinal Products,Meat & Meat Products (other than poultry),United Kingdom (GB),Veterinary Medicines Directorate
ICID00031740,2018-03-05,Poor or Insufficient Controls,Fruits & Vegetables,Pakistan (PK),Border Inspection Posts (BIPs)
ICID00031741,2018-03-05,Pesticide Residues,Fruits & Vegetables,Turkey (TR),Border Inspection Posts (BIPs)
ICID00031742,2018-03-02,Pathogenic Micro-Organisms,Non-Alcoholic Beverages,United Kingdom (GB),General Public
ICID00031743,2018-03-02,Allergens,Cereals & Bakery Products,China (CX),RASFF
ICID00031744,2018-03-05,Pathogenic Micro-Organisms,Meat & Meat Products (other than poultry),United Kingdom (GB),Department of Agriculture & Rural Development (DARD)
ICID00031745,2018-03-05,Foreign Bodies,Prepared Dishes & Snacks,United Kingdom (GB),Local Authority
ICID00031746,2018-03-05,Poor or Insufficient Controls,Meat & Meat Products (other than poultry),United Kingdom (GB),General Public
ICID00031747,2018-03-05,CHEMET,N/A,United Kingdom (GB),Marine Management Organisation (MMO)
ICID00031748,2018-03-06,Pesticide Residues,Non-Alcoholic Beverages,China (CX),Border Inspection Posts (BIPs)
ICID00031749,2018-03-06,Pesticide Residues,Fruits & Vegetables,India (IN),Border Inspection Posts (BIPs)
ICID00031750,2018-03-06,Residues of Veterinary Medicinal Products,Meat & Meat Products (other than poultry),United Kingdom (GB),Veterinary Medicines Directorate
ICID00031751,2018-03-06,Labelling Absent / Incomplete / Incorrect,Dietetic Foods / Food Supplements / Fortified Foods,Poland (PL),Local Authority
ICID00031752,2018-03-06,Labelling Absent / Incomplete / Incorrect,Meat & Meat Products (other than poultry),United Kingdom (GB),General Public
ICID00031753,2018-03-06,Pesticide Residues,Fruits & Vegetables,Pakistan (PK),Border Inspection Posts (BIPs)
ICID00031754,2018-03-06,Pathogenic Micro-Organisms,Meat & Meat Products (other than poultry),Germany (DE),Local Authority
ICID00031755,2018-03-06,Residues of Veterinary Medicinal Products,Meat & Meat Products (other than poultry),United Kingdom (GB),Veterinary Medicines Directorate
ICID00031756,2018-03-06,Residues of Veterinary Medicinal Products,Meat & Meat Products (other than poultry),United Kingdom (GB),Veterinary Medicines Directorate
ICID00031757,2018-03-06,Labelling Absent / Incomplete / Incorrect,Cereals & Bakery Products,Austrailia (AU),Local Authority
ICID00031758,2018-03-06,Residues of Veterinary Medicinal Products,Meat & Meat Products (other than poultry),United Kingdom (GB),Veterinary Medicines Directorate
ICID00031759,2018-03-06,Food Additives & Flavourings,Herbs & Spices,United Kingdom (GB),EU Member States
ICID00031760,2018-03-06,Pathogenic Micro-Organisms,Milk & Milk Products,United Kingdom (GB),FSA Operations Group
ICID00031761,2018-03-05,Labelling Absent / Incomplete / Incorrect,Meat & Meat Products (other than poultry),United Kingdom (GB),FSA Operations Group
ICID00031762,2018-03-07,Pesticide Residues,Fruits & Vegetables,United Kingdom (GB),Border Inspection Posts (BIPs)
ICID00031763,2018-03-06,Allergens,Prepared Dishes & Snacks,India (IN),Local Authority
ICID00031764,2018-03-07,Allergens,Prepared Dishes & Snacks,United Kingdom (GB),FSA Policy 
ICID00031766,2018-03-07,Poor or Insufficient Controls,Meat & Meat Products (other than poultry),United Kingdom (GB),FSA Operations Group
ICID00031767,2018-03-07,Pathogenic Micro-Organisms,Fish & Fish Products ,United Kingdom (GB),General Public
ICID00031768,2018-03-07,Poor or Insufficient Controls,Poultry Meat & Poultry Meat Products,United Kingdom (GB),Local Authority
ICID00031769,2018-03-07,Poor or Insufficient Controls,Poultry Meat & Poultry Meat Products,United Kingdom (GB),Food Standards Scotland (FSS)
ICID00031770,2018-03-07,Allergens,Cereals & Bakery Products,Germany (DE),EU Member States
ICID00031772,2018-03-07,CHEMET,N/A,United Kingdom (GB),Environment Agency (EA)
ICID00031773,2018-03-07,Residues of Veterinary Medicinal Products,Meat & Meat Products (other than poultry),United Kingdom (GB),Veterinary Medicines Directorate
ICID00031774,2018-03-07,CHEMET,N/A,United Kingdom (GB),Port Health Authority (PHA)
ICID00031775,2018-03-08,Pathogenic Micro-Organisms,Meat & Meat Products (other than poultry),United Kingdom (GB),Industry
ICID00031776,2018-03-08,Residues of Veterinary Medicinal Products,Meat & Meat Products (other than poultry),United Kingdom (GB),FSA Operations Group
ICID00031777,2018-03-08,Feed Additives,Milk & Milk Products,France (FR),Local Authority
ICID00031778,2018-03-08,Novel Food,Dietetic Foods / Food Supplements / Fortified Foods,Canada (CA),Local Authority
ICID00031779,2018-03-08,Foreign Bodies,Fruits & Vegetables,Bulgaria (BG),Local Authority
ICID00031780,2018-03-05,Composition,Food Additives & Flavourings,Philippines (PH),RASFF
ICID00031781,2018-03-08,Poor or Insufficient Controls,Poultry Meat & Poultry Meat Products ,United Kingdom (GB),Industry
ICID00031782,2018-03-08,Composition,Dietetic Foods / Food Supplements / Fortified Foods,Cyprus (CY),RASFF
ICID00031783,2018-03-09,Poor or Insufficient Controls,Other Food Product / Mixed,Germany (DE),Police
ICID00031784,2018-03-09,Allergens,Cereals & Bakery Products,United Kingdom (GB),Local Authority
ICID00031785,2018-03-09,Parasitic Infestation,Cereals & Bakery Products,United Kingdom (GB),Local Authority
ICID00031786,2018-03-09,Residues of Veterinary Medicinal Products,Meat & Meat Products (other than poultry),United Kingdom (GB),Local Authority
ICID00031787,2018-03-09,Pesticide Residues,Fruits & Vegetables,Pakistan (PK),Border Inspection Posts (BIPs)
ICID00031788,2018-03-08,Parasitic Infestation,Meat & Meat Products (other than poultry),United Kingdom (GB),Local Authority
ICID00031789,2018-03-09,CHEMET,N/A,United Kingdom (GB),Fire Services
ICID00031790,2018-03-12,CHEMET,N/A,United Kingdom (GB),Fire Services
ICID00031791,2018-03-12,Allergens,Herbs & Spices,South Africa (ZA),Local Authority
ICID00031792,2018-03-12,Allergens,Dietetic Foods / Food Supplements / Fortified Foods,United Kingdom (GB),Local Authority
ICID00031793,2018-03-12,Mycotoxins,Nuts / Nut Products / Seeds,Argentina (AR),Border Inspection Posts (BIPs)
ICID00031794,2018-03-12,Pesticide Residues,Fruits & Vegetables,Pakistan (PK),Border Inspection Posts (BIPs)
ICID00031795,2018-03-12,Residues of Veterinary Medicinal Products,Meat & Meat Products (other than poultry),United Kingdom (GB),Department of Agriculture & Rural Development (DARD)
ICID00031796,2018-03-12,Pathogenic Micro-Organisms,Meat & Meat Products (other than poultry),Lithuania (LT),Local Authority
ICID00031797,2018-03-12,Pesticide Residues,Fruits & Vegetables,Dominican Republic (DO),Port Health Authority (PHA)
ICID00031798,2018-03-12,Pesticide Residues,Fruits & Vegetables,Pakistan (PK),Port Health Authority (PHA)
ICID00031799,2018-03-13,Mycotoxins,Nuts / Nut Products / Seeds,Argentina (AR),Border Inspection Posts (BIPs)
ICID00031800,2018-03-13,Foreign Bodies,Cereals & Bakery Products,India (IN),Local Authority
ICID00031801,2018-03-11,CHEMET,N/A,United Kingdom (GB),Maritime & Costguard Agency (MCA)
ICID00031802,2018-03-13,Residues of Veterinary Medicinal Products,Meat & Meat Products (other than poultry),United Kingdom (GB),Veterinary Medicines Directorate
ICID00031803,2018-03-13,Allergens,Confectionery ,United Kingdom (GB),Local Authority
ICID00031804,2018-03-13,Residues of Veterinary Medicinal Products,Meat & Meat Products (other than poultry),United Kingdom (GB),Veterinary Medicines Directorate
ICID00031805,2018-03-13,Residues of Veterinary Medicinal Products,N/A,N/A,Veterinary Medicines Directorate
ICID00031806,2018-03-13,Mycotoxins,Nuts / Nut Products / Seeds,Sudan (SD),Border Inspection Posts (BIPs)
ICID00031807,2018-03-13,Allergens,Cereals & Bakery Products,United Kingdom (GB),Local Authority
ICID00031808,2018-03-13,Labelling Absent / Incomplete / Incorrect,Meat & Meat Products (other than poultry),Belgium (BE),RASFF
ICID00031809,2018-03-13,Pesticide Residues,Fruits & Vegetables,Dominican Republic (DO),Border Inspection Posts (BIPs)
ICID00031810,2018-03-13,Poor or Insufficient Controls,Meat & Meat Products (other than poultry),United Kingdom (GB),Industry
ICID00031812,2018-03-13,Allergens,Poultry Meat & Poultry Meat Products,United Kingdom (GB),Industry
ICID00031814,2018-03-12,Labelling Absent / Incomplete / Incorrect,Feed Premixtures,United Kingdom (GB),Administrative Assistance and Cooperation System (AAC) 
ICID00031815,2018-03-13,Chemical Contamination (other),Milk & Milk Products,United Kingdom (GB),Local Authority
ICID00031816,2018-03-13,CHEMET,N/A,United Kingdom (GB),Fire Services
ICID00031817,2018-03-13,Poor or Insufficient Controls,Meat & Meat Products (other than poultry),United Kingdom (GB),Local Authority
ICID00031818,2018-03-13,Labelling Absent / Incomplete / Incorrect,Dietetic Foods / Food Supplements / Fortified Foods,United Kingdom (GB),Administrative Assistance and Cooperation System (AAC) 
ICID00031819,2018-03-14,Poor or Insufficient Controls,Meat & Meat Products (other than poultry),United Kingdom (GB),Department of Agriculture & Rural Development (DARD)
ICID00031820,2018-03-14,Poor or Insufficient Controls,Meat & Meat Products (other than poultry),United Kingdom (GB),Department of Agriculture & Rural Development (DARD)
ICID00031821,2018-03-12,Pesticide Residues,Fruits & Vegetables,Pakistan (PK),Port Health Authority (PHA)
ICID00031822,2018-03-14,Pesticide Residues,Fruits & Vegetables,Pakistan (PK),Border Inspection Posts (BIPs)
ICID00031823,2018-03-14,Foreign Bodies,Meat & Meat Products (other than poultry),Belgium (BE),RASFF
ICID00031824,2018-03-15,Pathogenic Micro-Organisms,Cereals & Bakery Products,Austria (AT),Industry
ICID00031825,2018-03-12,CHEMET,N/A,United Kingdom (GB),Department of Agriculture & Rural Development (DARD)
ICID00031827,2018-03-14,Pesticide Residues,Fruits & Vegetables,Pakistan (PK),Border Inspection Posts (BIPs)
ICID00031829,2018-03-15,Foreign Bodies,Meat & Meat Products (other than poultry),United Kingdom (GB),Industry
ICID00031832,2018-03-15,Food Additives & Flavourings,Dietetic Foods / Food Supplements / Fortified Foods,United States (US),Border Inspection Posts (BIPs)
ICID00031833,2018-03-13,Labelling Absent / Incomplete / Incorrect,Dietetic Foods / Food Supplements / Fortified Foods,United Kingdom (GB),Administrative Assistance and Cooperation System (AAC) 
ICID00031834,2018-03-15,Food Additives & Flavourings,Dietetic Foods / Food Supplements / Fortified Foods,United States (US),Border Inspection Posts (BIPs)
ICID00031837,2018-03-15,Pathogenic Micro-Organisms,Herbs & Spices,Vietnam (VN),Port Health Authority (PHA)
ICID00031838,2018-03-15,Composition,Dietetic Foods / Food Supplements / Fortified Foods,Austria (AT),RASFF
ICID00031839,2018-03-15,Labelling Absent / Incomplete / Incorrect,Meat & Meat Products (other than poultry),Ireland (IE),EU Member States
ICID00031840,2018-03-15,Allergens,Poultry Meat & Poultry Meat Products,Ireland (IE),EU Member States
ICID00031841,2018-03-15,Composition,Dietetic Foods / Food Supplements / Fortified Foods,Hungary (HU),RASFF
ICID00031842,2018-03-15,Composition,Fruits & Vegetables,Italy (IT),RASFF
ICID00031843,2018-03-15,Allergens,Confectionery,Islamic Republic of Iran (IR),Local Authority
ICID00031844,2018-03-15,Poor or Insufficient Controls,N/A,United Kingdom (GB),General Public
ICID00031845,2018-03-16,Labelling Absent / Incomplete / Incorrect,Food Additives & Flavourings,United Kingdom (GB),RASFF
ICID00031846,2018-03-16,Residues of Veterinary Medicinal Products,Meat & Meat Products (other than poultry),United Kingdom (GB),Department of Agriculture & Rural Development (DARD)
ICID00031847,2018-03-16,Composition,Food Additives & Flavourings,United Kingdom (GB),EU Member States
ICID00031848,2018-03-16,Foreign Bodies,Cereals & Bakery Products,United Kingdom (GB),EU Member States
ICID00031849,2018-03-16,Labelling Absent / Incomplete / Incorrect,Confectionary,Turkey (TR),Local Authority
ICID00031850,2018-03-16,Labelling Absent / Incomplete / Incorrect,Ices & Desserts,Pakistan (PK),RASFF
ICID00031851,2018-03-16,Allergens,Meat & Meat Products (other than poultry),United Kingdom (GB),Industry
ICID00031852,2018-03-16,CHEMET,N/A,United Kingdom (GB),Industry
ICID00031853,2018-03-16,Poor or Insufficient Controls,Meat & Meat Products (other than poultry),United Kingdom (GB),Local Authority
ICID00031854,2018-03-15,Labelling Absent / Incomplete / Incorrect,Meat & Meat Products (other than poultry),Germany (DE),General Public
ICID00031855,2018-03-16,Allergens,Soups / Broths / Sauces & condiments,China (CX),Local Authority
ICID00031856,2018-03-17,Pesticide Residues,Fruits & Vegetables,Pakistan (PK),Border Inspection Posts (BIPs)
ICID00031857,2018-03-18,Chemical Contamination (other),Other Food Product / Mixed,United Kingdom (GB),Fire Services
ICID00031858,2018-03-19,Allergens,Prepared Dishes & Snacks,Belgium (BE),Local Authority
ICID00031859,2018-03-19,Pathogenic Micro-Organisms,Pet Food,United Kingdom (GB),Animal and Plant Health Agency (APHA)
ICID00031860,2018-03-19,Pathogenic Micro-Organisms,Pet Food,United Kingdom (GB),Industry
ICID00031861,2018-03-19,Food Additives & Flavourings,Prepared Dishes & Snacks,Nigeria (NG),Port Health Authority (PHA)
ICID00031862,2018-03-19,Composition,Dietetic Foods / Food Supplements / Fortified Foods,United Kingdom (GB),Local Authority
ICID00031863,2018-03-19,Pathogenic Micro-Organisms,Milk & Milk Products,Romania (RO),Local Authority
ICID00031864,2018-03-19,Labelling Absent / Incomplete / Incorrect,Meat & Meat Products (other than poultry),United Kingdom (GB),General Public
ICID00031865,2018-03-19,Composition,Dietetic Foods / Food Supplements / Fortified Foods,United Kingdom (GB),Local Authority
ICID00031866,2018-03-19,Pathogenic Micro-Organisms,Milk & Milk Products ,Netherlands (NL),RASFF
ICID00031867,2018-03-19,Composition,Dietetic Foods / Food Supplements / Fortified Foods,United Kingdom (GB),Local Authority
ICID00031868,2018-03-20,CHEMET,N/A,United Kingdom (GB),Industry
ICID00031869,2018-03-20,Pathogenic Micro-Organisms,Poultry Meat & Poultry Meat Products ,Chile (CL),Port Health Authority (PHA)
ICID00031870,2018-03-20,Foreign Bodies,Poultry Meat & Poultry Meat Products,Poland (PL),Local Authority
ICID00031871,2018-03-20,Pathogenic Micro-Organisms,Pet Food,United Kingdom (GB),Local Authority
ICID00031872,2018-03-20,Composition,Fruits & Vegetables,Croatia (HR),Administrative Assistance and Cooperation System (AAC) 
ICID00031873,2018-03-20,Allergens,Confectionary,United Kingdom (GB),Local Authority
ICID00031874,2018-03-02,Labelling Absent / Incomplete / Incorrect,Meat & Meat Products (other than poultry),United Kingdom (GB),FSA Operations Group
ICID00031875,2018-03-20,Allergens,Meat & Meat Products (other than poultry),United Kingdom (GB),Industry
ICID00031876,2018-03-20,Clandestine Detection,Meat & Meat Products (other than poultry),Germany (DE),Border Inspection Posts (BIPs)
ICID00031877,2018-03-21,Foreign Bodies,Meat & Meat Products (other than poultry),United Kingdom (GB),Administrative Assistance and Cooperation System (AAC) 
ICID00031878,2018-03-20,Foreign Bodies,Water,United Kingdom (GB),Administrative Assistance and Cooperation System (AAC) 
ICID00031879,2018-03-21,Chemical Contamination (other),Confectionary,United Kingdom (GB),Local Authority
ICID00031880,2018-03-21,Composition,Other Food Product / Mixed,United Kingdom (GB),Local Authority
ICID00031881,2018-03-21,Residues of Veterinary Medicinal Products,Meat & Meat Products (other than poultry),United Kingdom (GB),Public Analyst / Laboratory
ICID00031882,2018-03-21,Allergens,Fish and Fish Products,United Kingdom (GB),Industry
ICID00031883,2018-03-21,Packaging Defective / Incorrect,Cocoa & cocoa preparations coffee & tea,Italy (IT),RASFF
ICID00031884,2018-03-22,Pesticide Residues,Fruits & Vegetables,India (IN),Border Inspection Posts (BIPs)
ICID00031885,2018-03-22,Food Additives & Flavourings,Milk & Milk Products,France (FR),Local Authority
ICID00031886,2018-03-22,Pathogenic Micro-Organisms,Cereals & Bakery Products,Austria (AT),Local Authority
ICID00031887,2018-03-22,Labelling Absent / Incomplete / Incorrect,Milk & Milk Products ,United Kingdom (GB),Local Authority
ICID00031888,2018-03-21,Pathogenic Micro-Organisms,Feed Premixtures,Germany (DE),RASFF
ICID00031889,2018-03-22,Pathogenic Micro-Organisms,Pet Food,United Kingdom (GB),Animal and Plant Health Agency (APHA)
ICID00031890,2018-03-21,Poor or Insufficient Controls,Food Additives & Flavourings,Turkey (TR),FSA Operations Group
ICID00031891,2018-03-22,Allergens,Confectionery,United Kingdom (GB),Local Authority
ICID00031892,2018-03-15,Labelling Absent / Incomplete / Incorrect,Ices & Desserts,Pakistan (PK),RASFF
ICID00031894,2018-03-23,Composition,Confectionery,China (CX),Local Authority
ICID00031895,2018-03-23,Poor or Insufficient Controls,Poultry Meat & Poultry Meat Products ,China (CX),Local Authority
ICID00031896,2018-03-23,Allergens,Fruit & Vegetables,Philippines (PH),Industry
ICID00031897,2018-03-23,Pathogenic Micro-Organisms,Poultry Meat & Poultry Meat Products ,Netherlands (NL),RASFF
ICID00031898,2018-03-23,Composition,Meat & Meat Products (other than poultry),Belgium (BE),RASFF
ICID00031899,2018-03-23,Pathogenic Micro-Organisms,Milk & Milk Products,France (FR),RASFF
ICID00031900,2018-03-23,CHEMET,N/A,United Kingdom (GB),Department of Agriculture & Rural Development (DARD)
ICID00031901,2018-03-23,Feed Additives,Feed Premixtures,United Kingdom (GB),Industry
ICID00031902,2018-03-24,CHEMET,N/A,United Kingdom (GB),Fire Services
ICID00031903,2018-03-25,CHEMET,N/A,United Kingdom (GB),Fire Services
ICID00031904,2018-03-26,Pathogenic Micro-Organisms,Herbs & Spices,India (IN),RASFF
ICID00031905,2018-03-26,Pathogenic Micro-Organisms,Milk & Milk Products ,Romania (RO),Local Authority
ICID00031906,2018-03-21,Allergens,Confectionary,China (CX),Local Authority
ICID00031907,2018-03-26,Labelling Absent / Incomplete / Incorrect,Soups / Broths / Sauces & condiments,United Kingdom (GB),Industry
ICID00031908,2018-03-26,Allergens,Fish and Fish Products,United Kingdom (GB),Industry
ICID00031909,2018-03-26,Pesticide Residues,Fruits & Vegetables,Pakistan (PK),Border Inspection Posts (BIPs)
ICID00031910,2018-03-26,Pesticide Residues,Fruits & Vegetables,Pakistan (PK),Border Inspection Posts (BIPs)
ICID00031912,2018-03-20,Poor or Insufficient Controls,N/A,United Kingdom (GB),General Public
ICID00031913,2018-03-12,Poor or Insufficient Controls,N/A,United Kingdom (GB),General Public
ICID00031914,2018-03-27,Poor or Insufficient Controls,Fish & Fish Products,United Kingdom (GB),General Public
ICID00031915,2018-03-27,Poor or Insufficient Controls,Fish & Fish Products,Chile (CL),Border Inspection Posts (BIPs)
