UniqueReferenceNumber(URN) ,IncidentDate,IncidentCategory,ProductType,ProductOriginCountry ,NotifierType
ICID00036839,2020-03-18,Labelling Absent / Incomplete / Incorrect,Wine,Italy (IT),Administrative Assistance & Cooperation System (AAC)
ICID00036902,2020-03-31,Food Additives & Flavourings,Cereals & Bakery Products,United Kingdom (GB),Administrative Assistance & Cooperation System (AAC)
ICID00036899,2020-03-31,Composition,Dietetic Foods / Food Supplements / Fortified Foods,United Kingdom (GB),Administrative Assistance & Cooperation System (AAC)
ICID00036780,2020-03-06,Heavy Metals,Meat & Meat Products (other than poultry),United Kingdom (GB),Animal & Plant Health Agency (APHA)
ICID00036763,2020-03-05,Non-Pathogenic Micro-Organisims,Meat & Meat Products (other than poultry),United Kingdom (GB),Animal & Plant Health Agency (APHA)
ICID00036865,2020-03-24,Pathogenic Micro-Organisms,Meat & Meat Products (other than poultry),United Kingdom (GB),Animal & Plant Health Agency (APHA)
ICID00036848,2020-03-20,Residues of Veterinary Medicinal Products,Meat & Meat Products (other than poultry),United Kingdom (GB),Animal & Plant Health Agency (APHA)
ICID00036849,2020-03-20,Residues of Veterinary Medicinal Products,Meat & Meat Products (other than poultry),United Kingdom (GB),Animal & Plant Health Agency (APHA)
ICID00036850,2020-03-20,Residues of Veterinary Medicinal Products,Meat & Meat Products (other than poultry),United Kingdom (GB),Animal & Plant Health Agency (APHA)
ICID00036876,2020-03-27,Residues of Veterinary Medicinal Products,Meat & Meat Products (other than poultry),United Kingdom (GB),Animal & Plant Health Agency (APHA)
ICID00036877,2020-03-27,Residues of Veterinary Medicinal Products,Meat & Meat Products (other than poultry),United Kingdom (GB),Animal & Plant Health Agency (APHA)
ICID00036890,2020-03-30,Residues of Veterinary Medicinal Products,Meat & Meat Products (other than poultry),United Kingdom (GB),Animal & Plant Health Agency (APHA)
ICID00036900,2020-03-31,Residues of Veterinary Medicinal Products,Meat & Meat Products (other than poultry),United Kingdom (GB),Animal & Plant Health Agency (APHA)
ICID00036842,2020-03-18,TSE's ,Milk & Milk Products,United Kingdom (GB),Animal & Plant Health Agency (APHA)
ICID00036790,2020-03-10,Pathogenic Micro-Organisms,Poultry Meat & Poultry Meat Products,United Kingdom (GB),Animal & Plant Health Agency (APHA)
ICID00036830,2020-03-16,Pathogenic Micro-Organisms,Poultry Meat & Poultry Meat Products,United Kingdom (GB),Animal & Plant Health Agency (APHA)
ICID00036812,2020-03-13,Pathogenic Micro-Organisms,Meat & Meat Products (other than poultry),Australia (AU),Border Inspection Posts (BIPs)
ICID00036840,2020-03-17,Pathogenic Micro-Organisms,Poultry Meat & Poultry Meat Products,Brazil (BR),Border Inspection Posts (BIPs)
ICID00036857,2020-03-21,Clandestine Detection,Milk & Milk Products,Germany (DE),Border Inspection Posts (BIPs)
ICID00036825,2020-03-16,Chemical Contamination (other),Fish & Fish Products,Ghana (GH),Border Inspection Posts (BIPs)
ICID00036744,2020-03-02,Labelling Absent / Incomplete / Incorrect,Fish & Fish Products,Ghana (GH),Border Inspection Posts (BIPs)
ICID00036823,2020-03-16,Mycotoxins,Nuts / Nut Products / Seeds,Ghana (GH),Border Inspection Posts (BIPs)
ICID00036828,2020-03-16,Chemical Contamination (other),Poultry Meat & Poultry Meat Products,Ghana (GH),Border Inspection Posts (BIPs)
ICID00036796,2020-03-10,Mycotoxins,Feed Materials,India (IN),Border Inspection Posts (BIPs)
ICID00036791,2020-03-10,Pathogenic Micro-Organisms,Fruits & Vegetables,Malaysia (MY),Border Inspection Posts (BIPs)
ICID00036773,2020-03-06,Pesticide Residues,Fruits & Vegetables,Malaysia (MY),Border Inspection Posts (BIPs)
ICID00036820,2020-03-16,Packaging Defective / Incorrect,Fish & Fish Products,Philippines (PH),Border Inspection Posts (BIPs)
ICID00036856,2020-03-21,Clandestine Detection,Soups / Broths / Sauces & Condiments,Romania (RO),Border Inspection Posts (BIPs)
ICID00036779,2020-03-07,Clandestine Detection,Fruits & Vegetables,Spain (ES),Border Inspection Posts (BIPs)
ICID00036741,2020-03-02,Heavy Metals,Feed Materials,Turkey (TR),Border Inspection Posts (BIPs)
ICID00036762,2020-03-05,Mycotoxins,Nuts / Nut Products / Seeds,United States (US),Border Inspection Posts (BIPs)
ICID00036841,2020-03-17,Mycotoxins,Nuts / Nut Products / Seeds,United States (US),Border Inspection Posts (BIPs)
ICID00036758,2020-03-05,Residues of Veterinary Medicinal Products,Meat & Meat Products (other than poultry),United Kingdom (GB),Department for Environment Food & Rural Affairs (Defra)
ICID00036874,2020-03-26,Pathogenic Micro-Organisms,Poultry Meat & Poultry Meat Products,New Zealand (NZ),Department of Agriculture & Rural Development (DARD)
ICID00036757,2020-03-05,Residues of Veterinary Medicinal Products,Meat & Meat Products (other than poultry),United Kingdom (GB),Department of Agriculture & Rural Development (DARD)
ICID00036844,2020-03-19,Labelling Absent / Incomplete / Incorrect,Herbs & Spices,Poland (PL),Department of Health (DH)
ICID00036882,2020-03-27,CHEMET,N/A,United Kingdom (GB),Environment Agency (EA)
ICID00036871,2020-03-25,Labelling Absent / Incomplete / Incorrect,Dietetic Foods / Food Supplements / Fortified Foods,United Kingdom (GB),EU Member States
ICID00036881,2020-03-27,Foreign Bodies,Fruits & Vegetables,United Kingdom (GB),EU Member States
ICID00036806,2020-03-12,Pathogenic Micro-Organisms,Meat & Meat Products (other than poultry),United Kingdom (GB),EU Member States
ICID00036767,2020-03-05,Packaging Defective / Incorrect,Other Food Product / Mixed,United Kingdom (GB),EU Member States
ICID00036749,2020-03-03,CHEMET,N/A,United Kingdom (GB),Fire Services
ICID00036883,2020-03-29,CHEMET,N/A,United Kingdom (GB),Fire Services
ICID00036897,2020-03-31,Allergens,Meat & Meat Products (other than poultry),France (FR),FSA Operations Group
ICID00036867,2020-03-24,Food Additives & Flavourings,Food Additives & Flavourings,China (CX),FSA Policy
ICID00036811,2020-03-13,Allergens,Ices & Desserts,United Kingdom (GB),FSA Policy
ICID00036737,2020-03-02,Poor or Insufficient Controls,Other Food Product / Mixed,United Kingdom (GB),FSA Unannounced Inspector
ICID00036829,2020-03-17,Poor or Insufficient Controls,Other Food Product / Mixed,United Kingdom (GB),General Public
ICID00036891,2020-03-31,Clandestine Detection,Meat & Meat Products (other than poultry),Bulgaria (BG),Home Office / Border Force
ICID00036846,2020-03-19,Clandestine Detection,Cereals & Bakery Products,Italy (IT),Home Office / Border Force
ICID00036771,2020-03-06,Clandestine Detection,Other Food Product / Mixed,Italy (IT),Home Office / Border Force
ICID00036801,2020-03-11,Clandestine Detection,Fruits & Vegetables,Spain (ES),Home Office / Border Force
