UniqueReferenceNumber(URN),IncidentDate,IncidentCategory,ProductType,ProductOriginCountry,NotifierType
ICID00029729,2017-05-01,CHEMET,N/A,United Kingdom (GB),Fire Services
ICID00029730,2017-05-01,Labelling Absent / Incomplete / Incorrect,Fats & Oils,Ghana (GH),Border Inspection Posts (BIPs)
ICID00029734,2017-05-01,Poor or Insufficient Controls,Other Food Product / Mixed,United Kingdom (GB),General Public
ICID00029737,2017-05-02,CHEMET,N/A,United Kingdom (GB),Fire Services
ICID00029738,2017-05-03,Pesticide Residues,Fruits & Vegetables,Kenya (KE),Border Inspection Posts (BIPs)
ICID00029739,2017-05-03,Allergens,Cereals & Bakery Products,United Kingdom (GB),Coroner
ICID00029740,2017-05-03,CHEMET,N/A,United Kingdom (GB),Fire Services
ICID00029741,2017-05-03,Labelling Absent / Incomplete / Incorrect,Dietetic Foods / Food Supplements / Fortified Foods,Poland (PL),Local Authority
ICID00029742,2017-05-03,Pesticide Residues,Fruit & Vegetables ,Turkey (TR),RASFF
ICID00029743,2017-05-03,Chemical Contamination (other),Other Food Product / Mixed,United Kingdom (GB),General Public
ICID00029745,2017-05-03,Pesticide Residues,Non-Alcoholic Beverages,China (CX),Border Inspection Posts (BIPs)
ICID00029746,2017-05-04,Clandestine Detection,Fruit & Vegetables ,Belgium (BE),Home Office / Border Force
ICID00029747,2017-05-04,Clandestine Detection,Fruit & Vegetables ,Spain (ES),Home Office / Border Force
ICID00029748,2017-05-04,Allergens,Confectionary ,Netherlands (NL),RASFF
ICID00029749,2017-05-04,Labelling Absent / Incomplete / Incorrect,Alcoholic Beverages,United Kingdom (GB),Third Country
ICID00029750,2017-05-04,CHEMET,N/A,United Kingdom (GB),Fire Services
ICID00029751,2017-05-04,Allergens,Other Food Product / Mixed,United Kingdom (GB),General Public
ICID00029752,2017-05-04,Residues of Veterinary Medicinal Products,Meat & Meat Products (other than poultry),United Kingdom (GB),Public Analyst / Laboratory
ICID00029753,2017-05-04,Residues of Veterinary Medicinal Products,Meat & Meat Products (other than poultry),United Kingdom (GB),Public Analyst / Laboratory
ICID00029754,2017-05-05,Clandestine Detection,Herbs & Spices,Czech Republic (DO),Home Office / Border Force
ICID00029755,2017-05-04,Pathogenic Micro-Organisms,Herbs & Spices,India (IN),Border Inspection Posts (BIPs)
ICID00029756,2017-05-04,Labelling Absent / Incomplete / Incorrect,Herbs & Spices,India (IN),Border Inspection Posts (BIPs)
ICID00029757,2017-05-04,CHEMET,N/A,United Kingdom (GB),Fire Services
ICID00029758,2017-05-05,Parasitic Infestation,Fish & Fish Products,United Kingdom (GB),RASFF
ICID00029759,2017-05-05,Labelling Absent / Incomplete / Incorrect,Pet Food,United Kingdom (GB),Administrative Assistance and Cooperation System (AAC) 
ICID00029760,2017-05-05,Pathogenic Micro-Organisms,Fish & Fish Products,United Kingdom (GB),Local Authority
ICID00029761,2017-05-05,Pesticide Residues,Fruits & Vegetables,Turkey (TR),RASFF
ICID00029762,2017-05-05,Chemical Contamination (other),Prepared Dishes & Snacks,United Kingdom (GB),EU Member States
ICID00029763,2017-05-05,CHEMET,N/A,United Kingdom (GB),Fire Services
ICID00029764,2017-05-05,Residues of Veterinary Medicinal Products,Meat & Meat Products (other than poultry),United Kingdom (GB),Department of Agriculture & Rural Development (DARD)
ICID00029765,2017-05-05,Food Additives & Flavourings,Non-Alcoholic Beverages,United States (US),Local Authority
ICID00029766,2017-05-05,Migration,Food Contact Materials,China (CX),RASFF
ICID00029767,2017-05-05,Allergens,Soups / Broths / Sauces & Condiments,United Kingdom (GB),Industry
ICID00029768,2017-05-05,CHEMET,N/A,United Kingdom (GB),Fire Services
ICID00029769,2017-05-05,CHEMET,N/A,United Kingdom (GB),Fire Services
ICID00029770,2017-05-06,CHEMET,N/A,United Kingdom (GB),Fire Services
ICID00029771,2017-05-07,Clandestine Detection,Fruit & Vegetables ,Spain (ES),Home Office / Border Force
ICID00029772,2017-05-07,CHEMET,N/A,United Kingdom (GB),Fire Services
ICID00029773,2017-05-07,Clandestine Detection,Fruit & Vegetables ,Romania (RO),Home Office / Border Force
ICID00029774,2017-05-08,Clandestine Detection,Fruit & Vegetables ,Spain (ES),Police
ICID00029775,2017-05-08,Allergens,Nuts / Nut Products / Seeds,United Kingdom (GB),Local Authority
ICID00029776,2017-05-08,Foreign Bodies,Confectionary,China,Local Authority
ICID00029777,2017-05-08,CHEMET,N/A,United Kingdom (GB),Fire Services
ICID00029778,2017-05-08,Clandestine Detection,Fruit & Vegetables ,Spain (ES),Border Inspection Posts (BIPs)
ICID00029779,2017-05-08,Residues of Veterinary Medicinal Products,Meat & Meat Products (other than poultry),United Kingdom (GB),Public Analyst / Laboratory
ICID00029780,2017-05-09,Poor or Insufficient Controls,Other Food Product / Mixed,United Kingdom (GB),Local Authority
ICID00029781,2017-05-09,Mycotoxins,Nuts / Nut Products / Seeds,Ghana (GH),Border Inspection Posts (BIPs)
ICID00029782,2017-05-09,Mycotoxins,Nuts / Nut Products / Seeds,Egypt (EG),Border Inspection Posts (BIPs)
ICID00029783,2017-05-09,Novel Food,Dietetic Foods / Food Supplements / Fortified Foods,United States (US),RASFF
ICID00029784,2017-05-09,Parasitic Infestation,Fish & Fish Products,United Kingdom (GB),RASFF
ICID00029785,2017-05-09,Feed Additives,Feed Materials,United Kingdom (GB),FSA Operations Group
ICID00029786,2017-05-09,Parasitic Infestation,Fish & Fish Products,United Kingdom (GB),RASFF
ICID00029787,2017-05-09,Pathogenic Micro-Organisms,Fish & Fish Products,United Kingdom (GB),RASFF
ICID00029788,2017-05-09,Composition,Dietetic Foods / Food Supplements / Fortified Foods,United States (US),Local Authority
ICID00029789,2017-05-09,Pathogenic Micro-Organisms,Meat & Meat Products (other than poultry),United Kingdom (GB),Industry
ICID00029790,2017-05-09,Biotoxins (other),Milk & Milk Products,United Kingdom (GB),Animal and Plant Health Agency (APHA)
ICID00029791,2017-05-09,Allergens,Other Food Product / Mixed,United Kingdom (GB),Local Authority
ICID00029792,2017-05-09,Allergens,Other Food Product / Mixed,United Kingdom (GB),Local Authority
ICID00029793,2017-05-10,Clandestine Detection,Other Food Product / Mixed,Poland (PL),Border Inspection Posts (BIPs)
ICID00029794,2017-05-09,Residues of Veterinary Medicinal Products,Meat & Meat Products (other than poultry),United Kingdom (GB),Public Analyst / Laboratory
ICID00029795,2017-05-09,Residues of Veterinary Medicinal Products,Meat & Meat Products (other than poultry),United Kingdom (GB),Public Analyst / Laboratory
ICID00029796,2017-05-10,Foreign Bodies,Alcoholic Beverages,United Kingdom (GB),Local Authority
ICID00029797,2017-05-09,Allergens,Confectionary ,United Kingdom (GB),General Public
ICID00029798,2017-05-10,Clandestine Detection,Milk & Milk Products,France (FR),Border Inspection Posts (BIPs)
