UniqueReferenceNumber(URN) ,IncidentDate,IncidentCategory,ProductType,ProductOriginCountry ,NotifierType
ICID00032129,2018-05-01,Pathogenic Micro-Organisms,Poultry Meat & Poultry Meat Products,Chile (CL),Border Inspection Posts (BIPs)
ICID00032132,2018-05-01,Pathogenic Micro-Organisms,Milk & Milk Products,France (FR),Industry
ICID00032134,2018-05-01,CHEMET,N/A,United Kingdom (GB),Fire Services
ICID00032135,2018-05-01,Allergens,Prepared Dishes & Snacks,United Kingdom (GB),Industry
ICID00032136,2018-05-01,Allergens,Prepared Dishes & Snacks,United Kingdom (GB),Local Authority
ICID00032137,2018-05-01,Labelling Absent / Incomplete / Incorrect,Fruits & Vegetables,Ghana (GH),Local Authority
ICID00032138,2018-05-01,Pesticide Residues,Meat & Meat Products (other than poultry),United Kingdom (GB),Animal & Plant Health Agency (APHA)
ICID00032140,2018-05-02,Pesticide Residues,Fruits & Vegetables,Somalia (SO),Port Health Authority (PHA)
ICID00032141,2018-05-01,Pesticide Residues,Fruits & Vegetables,Pakistan (PK),Border Inspection Posts (BIPs)
ICID00032143,2018-05-02,Foreign Bodies,Milk & Milk Products,Ireland (IE),EU Member States
ICID00032144,2018-05-02,Pathogenic Micro-Organisms,Fish & Fish Products,United Kingdom (GB),Public Health England (PHE)
ICID00032145,2018-05-02,Clandestine Detection,Soups / Broths / Sauces & Condiments,Poland (PL),Home Office / Border Force
ICID00032146,2018-05-02,Pathogenic Micro-Organisms,Milk & Milk Products,United Kingdom (GB),Local Authority
ICID00032149,2018-05-02,Feed Additives,Feed Materials,Gambia (GM),Border Inspection Posts (BIPs)
ICID00032150,2018-05-02,Chemical Contamination (other),Nuts / Nut products / Seeds,United States (US),Border Inspection Posts (BIPs)
ICID00032151,2018-05-02,Mycotoxins,Feed Materials,Gambia (GM),Border Inspection Posts (BIPs)
ICID00032152,2018-05-02,CHEMET,N/A,United Kingdom (GB),Fire Services
ICID00032154,2018-05-03,Food Additives & Flavourings,Cereals & Bakery Products,Trinidad & Tobago (TT),Border Inspection Posts (BIPs)
ICID00032155,2018-05-03,Mycotoxins,Nuts / Nut products / Seeds,United States (US),Border Inspection Posts (BIPs)
ICID00032156,2018-05-03,Residues of Veterinary Medicinal Products,Meat & Meat Products (other than poultry),United Kingdom (GB),Veterinary Medicines Directorate
ICID00032157,2018-05-03,Residues of Veterinary Medicinal Products,Meat & Meat Products (other than poultry),United Kingdom (GB),Veterinary Medicines Directorate
ICID00032158,2018-05-03,Adulteration / Fraud,Meat & Meat Products (other than poultry),United Kingdom (GB),FSA Operations Group
ICID00032159,2018-05-03,Poor or Insufficient Controls,Feed Materials,China (CX),Border Inspection Posts (BIPs)
ICID00032160,2018-05-04,Novel Food,Cocoa / Cocoa Preparations / Coffee / Tea,India (IN),Local Authority
ICID00032161,2018-05-04,Composition,Dietetic Foods / Food Supplements / Fortified Foods,United Kingdom (GB),Local Authority
ICID00032162,2018-05-04,Composition,Dietetic Foods / Food Supplements / Fortified Foods,United Kingdom (GB),Local Authority
ICID00032163,2018-05-04,Novel Food,Cocoa / Cocoa Preparations / Coffee / Tea,United States (US),Local Authority
ICID00032164,2018-05-04,Poor or Insufficient Controls,Herbs & Spices,India (IN),Border Inspection Posts (BIPs)
ICID00032165,2018-05-04,Chemical Contamination (other),Meat & Meat Products (other than poultry),Brazil (BR),RASFF
ICID00032166,2018-05-04,Poor or Insufficient Controls,Nuts / Nut products / Seeds,United Kingdom (GB),Administrative Assistance & Cooperation System (AAC)
ICID00032167,2018-05-04,Mycotoxins,Feed Materials,Gambia (GM),Border Inspection Posts (BIPs)
ICID00032168,2018-05-04,Residues of Veterinary Medicinal Products,Meat & Meat Products (other than poultry),United Kingdom (GB),Department for Environment Food & Rural Affairs (Defra)
ICID00032169,2018-05-04,Mycotoxins,Nuts / Nut products / Seeds,Gambia (GM),Border Inspection Posts (BIPs)
