UniqueReferenceNumber(URN) ,IncidentDate,IncidentCategory,ProductType,ProductOriginCountry,NotifierType
ICID00030962,2017-11-01,Allergens,Fruits & Vegetables,Lithuania (LT),Local Authority
ICID00030965,2017-11-01,Clandestine Detection,Milk & Milk Products,France (FR),Home Office / Border Force
ICID00030966,2017-11-01,Heavy Metals,Dietetic Foods / Food Supplements / Fortified Foods,United Kingdom (GB),Local Authority
ICID00030967,2017-11-01,Residues of Veterinary Medicinal Products,Meat & Meat Products (other than poultry),United Kingdom (GB),Public Analyst/ Laboratory
ICID00030969,2017-11-01,Allergens,Non-Alcoholic Beverages,United Kingdom (GB),RASFF
ICID00030970,2017-11-01,Novel Food,Dietetic Foods / Food Supplements / Fortified Foods,United Kingdom (GB),RASFF
ICID00030972,2017-11-01,Foreign Bodies,Confectionery,Netherlands (NL),Local Authority
ICID00030973,2017-11-01,Allergens,Cereals & Bakery Products,United Kingdom (GB,Local Authority
ICID00030974,2017-11-01,Clandestine Detection,Confectionery,France (FR),Home Office / Border Force
ICID00030976,2017-11-02,Pathogenic Micro-Organisms,Meat & Meat Products (other than poultry),United Kingdom (GB),Public Health England (PHE)
ICID00030977,2017-11-02,Pathogenic Micro-Organisms,Poultry Meat & Poultry Meat Products,Brazil (BR),Port Health Authority (PHA)
ICID00030978,2017-11-02,Heavy Metals,Meat & Meat Products (other than poultry),United Kingdom (GB),Animal and Plant Health Agency (APHA)
ICID00030979,2017-11-02,Residues of Veterinary Medicinal Products,Meat & Meat Products (other than poultry),United Kingdom (GB),Veterinary Medicines Directorate
ICID00030980,2017-11-02,Allergens,Dietetic Foods / Food Supplements / Fortified Foods,United Kingdom (GB),Local Authority
ICID00030981,2017-11-02,Radiation,Meat & Meat Products (other than poultry),Vietnam (VN),Port Health Authority (PHA)
ICID00030982,2017-11-02,Pathogenic Micro-Organisms,Poultry Meat & Poultry Meat Products,Brazil (BR),Port Health Authority (PHA)
ICID00030983,2017-11-02,Residues of Veterinary Medicinal Products,Meat & Meat Products (other than poultry),United Kingdom (GB),Department for Environment Food & Rural Affairs (Defra)
ICID00030984,2017-11-02,Labelling Absent / Incomplete / Incorrect,Dietetic Foods / Food Supplements / Fortified Foods,United Kingdom (GB),Administrative Assistance and Cooperation System (AAC) 
ICID00030985,2017-11-02,Labelling Absent / Incomplete / Incorrect,Dietetic Foods / Food Supplements / Fortified Foods,United Kingdom (GB),Administrative Assistance and Cooperation System (AAC) 
ICID00030986,2017-11-02,Foreign Bodies,Confectionery,Denmark (DK),RASFF
ICID00030987,2017-11-03,Poor or Insufficient Controls,Nuts / Nut Products / Seeds,United Kingdom (GB),Industry
ICID00030988,2017-11-03,Clandestine Detection,Fruits & Vegetables,Netherlands (NL),Home Office / Border Force
ICID00030990,2017-11-03,Pathogenic Micro-Organisms,Meat & Meat Products (other than poultry),United Kingdom (GB),Local Authority
ICID00030991,2017-11-03,Chemical Contamination (other),Egg & Egg Products,Poland (PL),RASFF
ICID00030992,2017-11-03,Allergens,Confectionery,United Kingdom (GB),Local Authority
ICID00030993,2017-11-03,Poor or Insufficient Controls,Fish & Fish Products,United Kingdom (GB),Local Authority
ICID00030994,2017-11-03,Allergens,Other Food Product / Mixed,United Kingdom (GB),Local Authority
ICID00030995,2017-11-06,Clandestine Detection,Other Food Product / Mixed,Poland (PL),Home Office / Border Force
ICID00030996,2017-11-03,Allergens,Confectionery,Germany (DE),EU Member States
ICID17191568,2017-11-08,Pathogenic Micro-Organisms,Milk & Milk Products,United Kingdom (GB),Local Authority
ICID84289699,2017-11-03,Clandestine Detection,Cereals & Bakery Products,France (FR),Border Inspection Posts (BIPs)
ICID74943169,2017-11-02,Residues of Veterinary Medicinal Products,Meat & Meat Products (other than poultry),United Kingdom (GB),Department of Agriculture & Rural Development (DARD)
ICID52258291,2017-11-03,Pathogenic Micro-Organisms,Poultry Meat & Poultry Meat Products,Thailand (TH),Border Inspection Posts (BIPs)
ICID86130261,2017-11-02,Residues of Veterinary Medicinal Products,Meat & Meat Products (other than poultry),United Kingdom (GB),Department of Agriculture & Rural Development (DARD)
ICID00030997,2017-11-09,CHEMET,N/A,United Kingdom (GB),Fire Services
ICID00030998,2017-11-09,Radiation,Water,Belarus (BY),Local Authority
ICID00030999,2017-11-08,Labelling Absent / Incomplete / Incorrect,Poultry Meat & Poultry Meat Products,United Kingdom (GB),Local Authority
ICID00031000,2017-11-07,Labelling Absent / Incomplete / Incorrect,Milk & Milk Products,United Kingdom (GB),Food Standards Scotland (FSS)
ICID00031001,2017-11-08,Chemical Contamination (other),Nuts / Nut Products / Seeds,United Kingdom (GB),RASFF
ICID00031002,2017-11-06,Heavy Metals,Water,United Kingdom (GB),Local Authority
ICID00031003,2017-11-08,Novel Food,Dietetic Foods / Food Supplements / Fortified Foods,United Kingdom (GB),RASFF
ICID00031004,2017-11-03,Novel Food,Dietetic Foods / Food Supplements / Fortified Foods,United States (US),RASFF
ICID00031005,2017-11-03,Labelling Absent / Incomplete / Incorrect,Dietetic Foods / Food Supplements / Fortified Foods,Hungary (HU),Local Authority
ICID00031006,2017-11-08,Clandestine Detection,Non-Alcoholic Beverages,Switzerland (CH),Home Office / Border Force
ICID00031007,2017-11-09,Labelling Absent / Incomplete / Incorrect,Dietetic Foods / Food Supplements / Fortified Foods,United Kingdom (GB),Administrative Assistance and Cooperation System (AAC) 
ICID00031008,2017-11-08,Clandestine Detection,Fruits & Vegetables,Spain (ES),Home Office / Border Force
ICID00031009,2017-11-08,Chemical Contamination (other),Crustaceans & Products Thereof,United Kingdom (GB),Marine Management Organisation (MMO)
ICID00031011,2017-11-08,Clandestine Detection,Food Contact Materials,Slovakia (SK),Home Office / Border Force
ICID00031012,2017-11-09,Labelling Absent / Incomplete / Incorrect,Dietetic Foods / Food Supplements / Fortified Foods,United Kingdom (GB),Administrative Assistance and Cooperation System (AAC) 
ICID00031013,2017-11-09,Residues of Veterinary Medicinal Products,Meat & Meat Products (other than poultry),United Kingdom (GB),Veterinary Medicines Directorate
ICID00031014,2017-11-09,Residues of Veterinary Medicinal Products,Meat & Meat Products (other than poultry),United Kingdom (GB),Veterinary Medicines Directorate
ICID00031015,2017-11-10,Clandestine Detection,Fruits & Vegetables,Romania (RO),Home Office / Border Force
ICID00031016,2017-11-08,Labelling Absent / Incomplete / Incorrect,Fish & Fish Products,Ireland (IE),Local Authority
ICID00031017,2017-11-07,Pathogenic Micro-Organisms,Milk & Milk Products,United Kingdom (GB),Animal and Plant Health Agency (APHA)
ICID00031018,2017-11-10,Foreign Bodies,Cereals & Bakery Products,Netherlands (NL),RASFF
ICID00031019,2017-11-10,Labelling Absent / Incomplete / Incorrect,Dietetic Foods / Food Supplements / Fortified Foods,United States (US),RASFF
ICID00031020,2017-11-10,Clandestine Detection,Confectionery,Poland (PL),Home Office / Border Force
ICID00031021,2017-11-10,Chemical Contamination (other),Fruits & Vegetables,Thailand (TH),RASFF
ICID00031023,2017-11-10,Labelling Absent / Incomplete / Incorrect,Prepared Dishes & Snacks,United Kingdom (GB),Industry
