UniqueReferenceNumber(URN) ,IncidentDate,IncidentCategory,ProductType,ProductOriginCountry ,NotifierType
ICID00033315,2018-11-01,CHEMET,N/A,United Kingdom (GB),Fire Services
ICID00033317,2018-11-01,Clandestine Detection,Herbs & Spices,Spain (ES),Home Office / Border Force
ICID00033318,2018-11-01,Allergens,Soups / Broths / Sauces & Condiments,United Kingdom (GB),Industry
ICID00033320,2018-11-01,Pathogenic Micro-Organisms,Meat & Meat Products (other than poultry),United Kingdom (GB),Local Authority
ICID00033321,2018-11-01,CHEMET,N/A,United Kingdom (GB),Met Office
ICID00033323,2018-11-01,Pathogenic Micro-Organisms,Crustaceans & Products Thereof,United States (US),Border Inspection Posts (BIPs)
ICID00033340,2018-11-01,Composition,Crustaceans & Products Thereof,India (IN),RASFF
ICID00033322,2018-11-02,Pesticide Residues,Fruits & Vegetables,Kenya (KE),Port Health Authority (PHA)
ICID00033324,2018-11-02,Residues of Veterinary Medicinal Products,Meat & Meat Products (other than poultry),United Kingdom (GB),Veterinary Medicines Directorate
ICID00033326,2018-11-02,Pesticide Residues,Fruits & Vegetables,Dominican Republic (DO),Port Health Authority (PHA)
ICID00033327,2018-11-02,Organoleptic Aspects,Food Contact Materials,United Kingdom (GB),Administrative Assistance & Cooperation System (AAC)
ICID00033328,2018-11-02,Pathogenic Micro-Organisms,Fish & Fish Products,Vietnam (VN),RASFF
ICID00033329,2018-11-02,Pathogenic Micro-Organisms,Dietetic Foods / Food Supplements / Fortified Foods,India (IN),RASFF
ICID00033330,2018-11-02,Pathogenic Micro-Organisms,Dietetic Foods / Food Supplements / Fortified Foods,United States (US),RASFF
ICID00033331,2018-11-02,Pathogenic Micro-Organisms,Meat & Meat Products (other than poultry),United Kingdom (GB),RASFF
ICID00033342,2018-11-02,Allergens,Dietetic Foods / Food Supplements / Fortified Foods,United Kingdom (GB),Food Standards Scotland (FSS)
ICID00033332,2018-11-03,Clandestine Detection,Other Food Product / Mixed,Turkey (TR),Home Office / Border Force
ICID00033333,2018-11-03,Allergens,Prepared Dishes & Snacks,United Kingdom (GB),Industry
ICID00033334,2018-11-03,Allergens,Confectionery,United Kingdom (GB),Food Standards Scotland (FSS)
ICID00033339,2018-11-04,CHEMET,N/A,United Kingdom (GB),Fire Services
ICID00033335,2018-11-05,Pathogenic Micro-Organisms,Feed Materials,Ireland (IE),Department of Agriculture & Rural Development (DARD)
ICID00033336,2018-11-05,Clandestine Detection,Non-Alcoholic Beverages,Belgium (BE),Home Office / Border Force
ICID00033337,2018-11-05,Composition,Dietetic Foods / Food Supplements / Fortified Foods,United Kingdom (GB),RASFF
ICID00033338,2018-11-05,Clandestine Detection,Poultry Meat & Poultry Meat Products,Poland (PL),Home Office / Border Force
ICID00033341,2018-11-05,CHEMET,N/A,United Kingdom (GB),Met Office
ICID00033343,2018-11-05,Composition,Dietetic Foods / Food Supplements / Fortified Foods,Belgium (BE),RASFF
ICID00033344,2018-11-05,Pesticide Residues,Prepared Dishes & Snacks,United Kingdom (GB),Industry
ICID00033345,2018-11-05,Residues of Veterinary Medicinal Products,Meat & Meat Products (other than poultry),United Kingdom (GB),Veterinary Medicines Directorate
ICID00033346,2018-11-05,Residues of Veterinary Medicinal Products,Meat & Meat Products (other than poultry),United Kingdom (GB),Veterinary Medicines Directorate
ICID00033347,2018-11-05,Residues of Veterinary Medicinal Products,Meat & Meat Products (other than poultry),United Kingdom (GB),Veterinary Medicines Directorate
ICID00033348,2018-11-05,Residues of Veterinary Medicinal Products,Meat & Meat Products (other than poultry),United Kingdom (GB),Veterinary Medicines Directorate
ICID00033350,2018-11-05,Pesticide Residues,Fruits & Vegetables,China (CX),RASFF
ICID00033349,2018-11-06,Clandestine Detection,Fruits & Vegetables,Spain (ES),Border Inspection Posts (BIPs)
ICID00033351,2018-11-06,Pesticide Residues,Confectionery,South Africa (ZA),RASFF
ICID00033352,2018-11-06,CHEMET,N/A,United Kingdom (GB),Fire Services
ICID00033353,2018-11-06,CHEMET,N/A,United Kingdom (GB),Met Office
ICID00033354,2018-11-06,Pathogenic Micro-Organisms,Fish & Fish Products,United Kingdom (GB),Local Authority
ICID00033355,2018-11-06,Foreign Bodies,Non-Alcoholic Beverages,Poland (PL),RASFF
ICID00033356,2018-11-06,Pesticide Residues,Fruits & Vegetables,Turkey (TR),Border Inspection Posts (BIPs)
ICID00033357,2018-11-06,Novel Food,Dietetic Foods / Food Supplements / Fortified Foods,United States (US),RASFF
ICID00033358,2018-11-06,Allergens,Nuts / Nut Products / Seeds,Lebanon (LB),Local Authority
ICID00033359,2018-11-07,Allergens,Soups / Broths / Sauces & Condiments,United Kingdom (GB),Industry
ICID00033360,2018-11-07,Composition,Dietetic Foods / Food Supplements / Fortified Foods,United Kingdom (GB),Industry
ICID00033361,2018-11-07,Clandestine Detection,Prepared Dishes & Snacks,Poland (PL),Border Inspection Posts (BIPs)
ICID00033362,2018-11-07,Poor or Insufficient Controls,Poultry Meat & Poultry Meat Products,United Kingdom (GB),Local Authority
ICID00033363,2018-11-07,Allergens,Cereals & Bakery Products,United Kingdom (GB),Food Standards Scotland (FSS)
ICID00033364,2018-11-07,Labelling Absent / Incomplete / Incorrect,Poultry Meat & Poultry Meat Products,United Kingdom (GB),Local Authority
ICID00033476,2018-11-07,Composition,Dietetic Foods / Food Supplements / Fortified Foods,France (FR),Medicines & Healthcare products Regulatory Agency (MHRA)
ICID00033366,2018-11-08,Clandestine Detection,Milk & Milk Products,France (FR),Border Inspection Posts (BIPs)
ICID00033367,2018-11-08,Labelling Absent / Incomplete / Incorrect,Herbs & Spices,Thailand (TH),Local Authority
ICID00033368,2018-11-08,Clandestine Detection,Milk & Milk Products,Italy (IT),Home Office / Border Force
ICID00033369,2018-11-08,Packaging Defective / Incorrect,Soups / Broths / Sauces & Condiments,United Kingdom (GB),Industry
ICID00033370,2018-11-08,CHEMET,N/A,United Kingdom (GB),Met Office
ICID00033371,2018-11-08,Residues of Veterinary Medicinal Products,Meat & Meat Products (other than poultry),France (FR),RASFF
ICID00033372,2018-11-08,CHEMET,N/A,United Kingdom (GB),Met Office
ICID00033374,2018-11-08,Allergens,Prepared Dishes & Snacks,United Kingdom (GB),Industry
ICID00033375,2018-11-08,Clandestine Detection,Fruits & Vegetables,France (FR),Border Inspection Posts (BIPs)
ICID00033376,2018-11-09,Residues of Veterinary Medicinal Products,Meat & Meat Products (other than poultry),United Kingdom (GB),Veterinary Medicines Directorate
ICID00033377,2018-11-09,Residues of Veterinary Medicinal Products,Meat & Meat Products (other than poultry),United Kingdom (GB),Veterinary Medicines Directorate
ICID00033378,2018-11-09,Clandestine Detection,Non-Alcoholic Beverages,Poland (PL),Police
ICID00033379,2018-11-09,Food Additives & Flavourings,Fruits & Vegetables,Unknown,Port Health Authority (PHA)
ICID00033380,2018-11-09,Composition,Dietetic Foods / Food Supplements / Fortified Foods,United States (US),RASFF
ICID00033381,2018-11-09,Residues of Veterinary Medicinal Products,Meat & Meat Products (other than poultry),United Kingdom (GB),Department of Agriculture & Rural Development (DARD)
ICID00033382,2018-11-09,Allergens,Soups / Broths / Sauces & Condiments,United Kingdom (GB),Local Authority
ICID00033383,2018-11-09,Allergens,Soups / Broths / Sauces & Condiments,United Kingdom (GB),Industry
ICID00033384,2018-11-09,Labelling Absent / Incomplete / Incorrect,Confectionery,United Kingdom (GB),Department of Health (DH)
ICID00033385,2018-11-09,Composition,Food Contact Materials,China (CX),RASFF
ICID00033386,2018-11-09,Pesticide Residues,Fruits & Vegetables,Pakistan (PK),Border Inspection Posts (BIPs)
ICID00033387,2018-11-09,Industrial Contaminants,Egg & Egg Products,United Kingdom (GB),Local Authority
ICID00033388,2018-11-09,Pathogenic Micro-Organisms,Meat & Meat Products (other than poultry),China (CX),National Food Crime Unit (NFCU)
ICID00033414,2018-11-09,Poor or Insufficient Controls,Other Food Product / Mixed,United Kingdom (GB),General Public
ICID00033389,2018-11-10,CHEMET,N/A,United Kingdom (GB),Fire Services
ICID00033404,2018-11-10,Organoleptic Aspects,Milk & Milk Products,United Kingdom (GB),General Public
ICID00033390,2018-11-12,Allergens,Other Food Product / Mixed,United Kingdom (GB),General Public
ICID00033391,2018-11-12,Poor or Insufficient Controls,Other Food Product / Mixed,United Kingdom (GB),General Public
ICID00033392,2018-11-12,Foreign Bodies,Other Food Product / Mixed,United Kingdom (GB),Local Authority
ICID00033393,2018-11-12,CHEMET,N/A,United Kingdom (GB),Fire Services
ICID00033394,2018-11-12,Novel Food,Dietetic Foods / Food Supplements / Fortified Foods,United Kingdom (GB),Local Authority
ICID00033395,2018-11-12,Chemical Contamination (other),Food Contact Materials,United Kingdom (GB),Local Authority
ICID00033396,2018-11-13,Poor or Insufficient Controls,Meat & Meat Products (other than poultry),Brazil (BR),Port Health Authority (PHA)
ICID00033397,2018-11-13,Food Additives & Flavourings,Non-Alcoholic Beverages,India (IN),Port Health Authority (PHA)
ICID00033398,2018-11-13,Food Additives & Flavourings,Non-Alcoholic Beverages,India (IN),Border Inspection Posts (BIPs)
ICID00033399,2018-11-13,Industrial Contaminants,Honey & Royal Jelly,Argentina (AR),Port Health Authority (PHA)
ICID00033400,2018-11-13,Allergens,Nuts / Nut Products / Seeds,United Kingdom (GB),Local Authority
ICID00033401,2018-11-13,Clandestine Detection,Fruits & Vegetables,Spain (ES),Home Office / Border Force
ICID00033402,2018-11-13,Allergens,Alcoholic Beverages,United Kingdom (GB),Local Authority
ICID00033403,2018-11-13,Poor or Insufficient Controls,Meat & Meat Products (other than poultry),Brazil (BR),Port Health Authority (PHA)
ICID00033405,2018-11-13,Labelling Absent / Incomplete / Incorrect,Meat & Meat Products (other than poultry),Poland (PL),Local Authority
ICID00033406,2018-11-13,Foreign Bodies,Cereals & Bakery Products,Italy (IT),Industry
ICID00033407,2018-11-13,Pathogenic Micro-Organisms,Poultry Meat & Poultry Meat Products,United Kingdom (GB),Department of Agriculture & Rural Development (DARD)
ICID00033408,2018-11-13,Allergens,Cereals & Bakery Products,United Kingdom (GB),Local Authority
ICID00033409,2018-11-13,Labelling Absent / Incomplete / Incorrect,Prepared Dishes & Snacks,United Kingdom (GB),Industry
ICID00033410,2018-11-14,Pathogenic Micro-Organisms,Poultry Meat & Poultry Meat Products,Brazil (BR),Port Health Authority (PHA)
ICID00033411,2018-11-14,Clandestine Detection,Confectionery,Poland (PL),Home Office / Border Force
ICID00033412,2018-11-14,Labelling Absent / Incomplete / Incorrect,Meat & Meat Products (other than poultry),Czech Republic (CZ),Industry
ICID00033413,2018-11-14,Residues of Veterinary Medicinal Products,Meat & Meat Products (other than poultry),United Kingdom (GB),Veterinary Medicines Directorate
ICID00033415,2018-11-14,Chemical Contamination (other),Food Contact Materials,China (CX),Border Inspection Posts (BIPs)
ICID00033416,2018-11-14,Allergens,Poultry Meat & Poultry Meat Products,United Kingdom (GB),Industry
ICID00033417,2018-11-14,Allergens,Cereals & Bakery Products,United Kingdom (GB),Food Standards Scotland (FSS)
ICID00033418,2018-11-14,Allergens,Prepared Dishes & Snacks,United Kingdom (GB),Local Authority
ICID00033419,2018-11-14,Poor or Insufficient Controls,Milk & Milk Products,United Kingdom (GB),Local Authority
ICID00033420,2018-11-14,Allergens,Prepared Dishes & Snacks,United Kingdom (GB),Local Authority
ICID00033457,2018-11-14,Pesticide Residues,Fruits & Vegetables,India (IN),Border Inspection Posts (BIPs)
ICID00033421,2018-11-15,Pathogenic Micro-Organisms,Meat & Meat Products (other than poultry),United Kingdom (GB),FSA Operations Group
ICID00033422,2018-11-15,Clandestine Detection,Milk & Milk Products,Italy (IT),Home Office / Border Force
ICID00033423,2018-11-15,Pathogenic Micro-Organisms,Fruits & Vegetables,Italy (IT),Local Authority
ICID00033424,2018-11-15,Heavy Metals,Herbs & Spices,United Kingdom (GB),Local Authority
ICID00033425,2018-11-15,Labelling Absent / Incomplete / Incorrect,Soups / Broths / Sauces & Condiments,United Kingdom (GB),FSA England
ICID00033426,2018-11-15,CHEMET,N/A,United Kingdom (GB),Fire Services
