UniqueReferenceNumber(URN),IncidentDate,IncidentCategory,ProductType,ProductOriginCountry,NotifierType
ICID00030756,2017-10-02,Clandestine Detection,Cereals & Bakery Products,Germany (DE),Border Inspection Posts (BIPs)
ICID00030757,2017-10-02,Foreign Bodies,Soups / Broths / Sauces & Condiments,United Kingdom (GB),Local Authority
ICID00030758,2017-10-02,Clandestine Detection,Confectionery,France (FR),Home Office / Border Force
ICID00030759,2017-10-02,Parasitic Infestation,Fish & Fish Products,Ghana (GH),Port Health Authority (PHA)
ICID00030761,2017-10-02,Poor or Insufficient Controls,Cereals & Bakery Products,China (CX),Port Health Authority (PHA)
ICID00030764,2017-10-02,Labelling Absent / Incomplete / Incorrect,Confectionery,Turkey (TR),EU Member States
ICID00030765,2017-10-03,Residues of Veterinary Medicinal Products,Meat & Meat Products (other than poultry),United Kingdom (GB),Veterinary Medicines Directorate
ICID00030767,2017-10-03,Pathogenic Micro-Organisms,Meat & Meat Products (other than poultry),United Kingdom (GB),Animal and Plant Health Agency (APHA)
ICID00030768,2017-10-03,Poor or Insufficient Controls,Fruits & Vegetables,Brazil (BR),Local Authority
ICID00030769,2017-10-03,Pesticide Residues,Fruits & Vegetables,China (CX),RASFF
ICID00030770,2017-10-04,Clandestine Detection,Non-Alcoholic Beverages,France (FR),Home Office / Border Force
ICID00030771,2017-10-04,Clandestine Detection,Non-Alcoholic Beverages,France (FR),Home Office / Border Force
ICID00030772,2017-10-03,Clandestine Detection,Milk & Milk Products,France (FR),Border Inspection Posts (BIPs)
ICID00030773,2017-10-04,Allergens,Meat and Meat Products (other than poultry),Germany (DE),Industry
ICID00030774,2017-10-04,Allergens,Other Food Product / Mixed,United States (US),Local Authority
ICID00030775,2017-10-04,Allergens,Cereals & Bakery Products,United States (US),Local Authority
ICID00030776,2017-10-04,Pathogenic Micro-Organisms,Pet Food,Argentina (AR),RASFF
ICID00030778,2017-10-04,Heavy Metals,Meat & Meat Products (other than poultry),United Kingdom (GB),Animal and Plant Health Agency (APHA)
ICID00030779,2017-10-04,Pathogenic Micro-Organisms,Herbs and Spices,India (IN),Industry
ICID00030780,2017-10-04,Pathogenic Micro-Organisms,Herbs and Spices,India (IN),Industry
ICID00030781,2017-10-04,Allergens,Prepared Dishes & Snacks,United Kingdom (GB),Local Authority
ICID00030782,2017-10-04,Pathogenic Micro-Organisms,Herbs and Spices,United Kingdom (GB),Local Authority
ICID00030783,2017-10-04,Pathogenic Micro-Organisms,Herbs and Spices,Thailand (TH),Local Authority
ICID00030784,2017-10-04,Poor or Insufficient Controls,Milk & Milk Products,Thailand (TH),Border Inspection Posts (BIPs)
ICID00030785,2017-10-04,Composition,Dietetic Foods / Food Supplements / Fortified Foods,United Kingdom (GB),RASFF
ICID00030786,2017-10-04,Composition,Dietetic Foods / Food Supplements / Fortified Foods,United Kingdom (GB),Administrative Assistance and Cooperation System (AAC) 
ICID00030787,2017-10-05,Foreign Bodies,Other Food Product / Mixed,United Kingdom (GB),Industry
ICID00030788,2017-10-05,Allergens,Prepared Dishes & Snacks,United Kingdom (GB),Industry
ICID00030789,2017-10-05,Pathogenic Micro-Organisms,Herbs & Spices,India (IN),RASFF
ICID00030790,2017-10-05,Chemical Contamination (other),Cereals & Bakery Products,United Kingdom (GB),EU Member States
ICID00030791,2017-10-05,CHEMET,N/A,United Kingdom (GB),Local Authority
ICID00030792,2017-10-05,Allergens,Poultry Meat & Poultry Meat Products,Netherlands (NL),RASFF
ICID00030794,2017-10-05,Poor or Insufficient Controls,Other Food Product / Mixed,United Kingdom (GB),Industry
ICID00030795,2017-10-05,Composition,Dietetic Foods / Food Supplements / Fortified Foods,Luxembourg (LU),European Commission (EC)
ICID00030796,2017-10-05,Pathogenic Micro-Organisms,Egg & Egg Products,United Kingdom (GB),Department of Agriculture & Rural Development (DARD)
ICID00030797,2017-10-05,Poor or Insufficient Controls,Other Food Product / Mixed,United Kingdom (GB),Industry
ICID00030798,2017-10-05,Poor or Insufficient Controls,Fish & Fish Products,Nigeria (NG),Border Inspection Posts (BIPs)
ICID00030799,2017-10-06,CHEMET,N/A,United Kingdom (GB),Fire Services
ICID00030800,2017-10-06,Pathogenic Micro-Organisms,Poultry Meat & Poultry Meat Products,Thailand (TH),EU Member States
ICID00030801,2017-10-06,Residues of Veterinary Medicinal Products,Meat & Meat Products (other than poultry),United Kingdom (GB),Veterinary Medicines Directorate
ICID00030802,2017-10-06,Poor or Insufficient Controls,Ices & Desserts ,United Kingdom (GB),Local Authority
ICID00030803,2017-10-06,Residues of Veterinary Medicinal Products,Meat & Meat Products (other than poultry),United Kingdom (GB),Veterinary Medicines Directorate
ICID00030804,2017-10-06,Poor or Insufficient Controls,Nuts / Nut Products / Seeds,Nigeria (NG),Border Inspection Posts (BIPs)
ICID00030805,2017-10-06,Residues of Veterinary Medicinal Products,Meat & Meat Products (other than poultry),United Kingdom (GB),Veterinary Medicines Directorate
ICID00030806,2017-10-06,Residues of Veterinary Medicinal Products,Meat & Meat Products (other than poultry),United Kingdom (GB),Veterinary Medicines Directorate
ICID00030807,2017-10-06,Residues of Veterinary Medicinal Products,Meat & Meat Products (other than poultry),United Kingdom (GB),Veterinary Medicines Directorate
ICID00030808,2017-10-06,Residues of Veterinary Medicinal Products,Meat & Meat Products (other than poultry),United Kingdom (GB),Veterinary Medicines Directorate
ICID00030809,2017-10-06,Poor or Insufficient Controls,Fish & Fish Products,United Kingdom (GB),EU Member States
