UniqueReferenceNumber(URN) ,IncidentDate,IncidentCategory,ProductType,ProductOriginCountry ,NotifierType
ICID00033090,2018-10-01,Pathogenic Micro-Organisms,Other Food Product / Mixed,United Kingdom (GB),Industry
ICID00033092,2018-10-01,Foreign Bodies,Confectionery,United Kingdom (GB),Industry
ICID00033093,2018-10-01,CHEMET,N/A,United Kingdom (GB),Fire Services
ICID00033094,2018-10-01,Pesticide Residues,Cereals & Bakery Products,India (IN),Local Authority
ICID00033095,2018-10-01,Pathogenic Micro-Organisms,Prepared Dishes & Snacks,United Kingdom (GB),Police
ICID00033096,2018-10-01,CHEMET,N/A,United Kingdom (GB),Water Company
ICID00033097,2018-10-01,Allergens,Herbs & Spices,United Kingdom (GB),Local Authority
ICID00033098,2018-10-01,CHEMET,N/A,United Kingdom (GB),Environment Agency (EA)
ICID00033101,2018-10-01,Allergens,Prepared Dishes & Snacks,United Kingdom (GB),Local Authority
ICID00033102,2018-10-02,Food Additives & Flavourings,Non-Alcoholic Beverages,United Kingdom (GB),Local Authority
ICID00033103,2018-10-01,Allergens,Fruits & Vegetables,Turkey (TR),Port Health Authority (PHA)
ICID00033104,2018-10-02,Composition,Dietetic Foods / Food Supplements / Fortified Foods,China (CX),RASFF
ICID00033105,2018-10-02,Labelling Absent / Incomplete / Incorrect,Food Contact Materials,United States (US),Administrative Assistance & Cooperation System (AAC)
ICID00033106,2018-10-02,Labelling Absent / Incomplete / Incorrect,Food Contact Materials,United States (US),Administrative Assistance & Cooperation System (AAC)
ICID00033107,2018-10-02,Labelling Absent / Incomplete / Incorrect,Poultry Meat & Poultry Meat Products,United Kingdom (GB),FSA Operations Group
ICID00033108,2018-10-02,Foreign Bodies,Confectionery,United Kingdom (GB),EU Member States
ICID00033109,2018-10-02,Clandestine Detection,Confectionery,Latvia (LV),Border Inspection Posts (BIPs)
ICID00033110,2018-10-02,Pathogenic Micro-Organisms,Soups / Broths / Sauces & Condiments,Philippines (PH),RASFF
ICID00033111,2018-10-02,Food Additives & Flavourings,Non-Alcoholic Beverages,Vietnam (VN),RASFF
ICID00033112,2018-10-02,Mycotoxins,Nuts / Nut Products / Seeds,India (IN),Border Inspection Posts (BIPs)
ICID00033113,2018-10-02,Composition,Dietetic Foods / Food Supplements / Fortified Foods,United States (US),RASFF
ICID00033114,2018-10-01,Allergens,Other Food Product / Mixed,United Kingdom (GB),Local Authority
ICID00033115,2018-10-02,Migration,Food Contact Materials,China (CX),RASFF
ICID00033116,2018-10-02,Poor or Insufficient Controls,Fish & Fish Products,China (CX),Border Inspection Posts (BIPs)
ICID00033117,2018-10-02,Poor or Insufficient Controls,Fish & Fish Products,China (CX),Border Inspection Posts (BIPs)
ICID00033118,2018-10-02,Novel Food,Other Food Product / Mixed,United States (US),EU Member States
ICID00033119,2018-10-03,Poor or Insufficient Controls,N/A,United Kingdom (GB),Administrative Assistance & Cooperation System (AAC)
ICID00033120,2018-10-03,Mycotoxins,Nuts / Nut Products / Seeds,China (CX),Border Inspection Posts (BIPs)
ICID00033121,2018-10-03,Mycotoxins,Nuts / Nut Products / Seeds,Turkey (TR),Border Inspection Posts (BIPs)
ICID00033123,2018-10-04,Chemical Contamination (other),Fish & Fish Products,Vietnam (VN),Border Inspection Posts (BIPs)
ICID00033124,2018-10-04,Poor or Insufficient Controls,Cereals & Bakery Products,United Kingdom (GB),Industry
ICID00033125,2018-10-04,Residues of Veterinary Medicinal Products,Meat & Meat Products (other than poultry),United Kingdom (GB),Veterinary Medicines Directorate
ICID00033126,2018-10-04,Residues of Veterinary Medicinal Products,Meat & Meat Products (other than poultry),United Kingdom (GB),Veterinary Medicines Directorate
ICID00033127,2018-10-04,Allergens,Prepared Dishes & Snacks,United Kingdom (GB),Local Authority
ICID00033128,2018-10-04,Heavy Metals,Meat & Meat Products (other than poultry),United Kingdom (GB),Department of Agriculture & Rural Development (DARD)
ICID00033129,2018-10-04,Pesticide Residues,Herbs & Spices,India (IN),Health & Safety Executive
ICID00033130,2018-10-04,Packaging Defective / Incorrect,Non-Alcoholic Beverages,United Kingdom (GB),Industry
