UniqueReferenceNumber(URN) ,IncidentDate,IncidentCategory ,ProductType,ProductOriginCountry,NotifierType
ICID00029810,2017-09-29,Foreign Bodies ,Poultry Meat & Poultry Meat Products,United Kingdom (GB),Local Authority
ICID00030522,2017-09-01,Labelling Absent / Incomplete / Incorrect,Food Additives & Flavourings,United Kingdom (GB),EU Member States
ICID00030527,2017-09-01,Pathogenic Micro-Organisms,Meat & Meat Products (other than poultry),United Kingdom (GB),Industry
ICID00030528,2017-09-01,Pathogenic Micro-Organisms,Fruits & Vegetables,United Kingdom (GB),Public Health England (PHE)
ICID00030529,2017-09-01,Clandestine Detection,Fruits & Vegetables,Italy (IT),Home Office / Border Force
ICID00030530,2017-09-01,Foreign Bodies ,Prepared Dishes & Snacks,United Kingdom (GB),EU Member States
ICID00030531,2017-09-01,Pathogenic Micro-Organisms,Poultry Meat & Poultry Meat Products,Brazil (BR),Border Inspection Posts (BIPs)
ICID00030532,2017-09-01,Pathogenic Micro-Organisms,Fish & Fish Products,United Kingdom (GB),Local Authority
ICID00030533,2017-09-01,Allergens,Fish & Fish Products,United Kingdom (GB),Industry
ICID00030534,2017-09-01,Poor or Insufficient Controls,Fruits & Vegetables,Islamic Republic of Iran (IR),Border Inspection Posts (BIPs)
ICID00030535,2017-09-02,Pesticide Residues,Non-Alcoholic Beverages,Sri Lanka (LK),Border Inspection Posts (BIPs)
ICID00030536,2017-09-03,CHEMET,N/A,United Kingdom (GB),Fire Services
ICID00030537,2017-09-03,Clandestine Detection,Other Food Product / Mixed,Spain (ES),Home Office / Border Force
ICID00030539,2017-09-04,Clandestine Detection,Milk & Milk Products,France (FR),Police
ICID00030540,2017-09-04,Residues of Veterinary Medicinal Products,Meat & Meat Products (other than poultry),United Kingdom (GB),Public Analyst / Laboratory
ICID00030541,2017-09-04,Poor or Insufficient Controls,Meat & Meat Products (other than poultry),United Kingdom (GB),FSA Operations Group
ICID00030542,2017-09-05,Pathogenic Micro-Organisms,Pet Food,United Kingdom (GB),Public Health England (PHE)
ICID00030543,2017-09-05,Clandestine Detection,Non-Alcoholic Beverages,Netherlands (NL),Home Office / Border Force
ICID00030544,2017-09-05,Pathogenic Micro-Organisms,Fish & Fish Products,United Kingdom (GB),Local Authority
ICID00030545,2017-09-05,Pathogenic Micro-Organisms,Poultry Meat & Poultry Meat Products,Thailand (TH),Port Health Authority (PHA)
ICID00030546,2017-09-05,CHEMET,N/A,United Kingdom (GB),Fire Services
ICID00030547,2017-09-05,Clandestine Detection,Herbs & Spices,Spain (ES),Police
ICID00030548,2017-09-05,Heavy Metals,Fish & Fish Products,Vietnam (VN),RASFF
ICID00030549,2017-09-06,CHEMET,N/A,United Kingdom (GB),Fire Services
ICID00030550,2017-09-06,Labelling Absent / Incomplete / Incorrect,Confectionary,Netherlands (NL),Local Authority
ICID00030551,2017-09-06,Poor or Insufficient Controls,Nuts / Nut Products / Seeds,India (IN),Port Health Authority (PHA)
ICID00030552,2017-09-05,Poor or Insufficient Controls,Cereals & Bakery Products,Pakistan (PK),Local Authority
ICID00030553,2017-09-06,Labelling Absent / Incomplete / Incorrect,Fish & Fish Products,United Kingdom (GB),Administrative Assistance and Cooperation System (AAC) 
ICID00030554,2017-09-05,Pathogenic Micro-Organisms,Animal By-Products,Poland (PL),RASFF
