UniqueReferenceNumber(URN) ,IncidentDate,IncidentCategory,ProductType,ProductOriginCountry ,NotifierType
ICID00035418,2019-09-02,Foreign Bodies,Meat & Meat Products (other than poultry),United Kingdom (GB),General Public
ICID00035419,2019-09-02,Clandestine Detection,Fruits & Vegetables,United Kingdom (GB),Border Inspection Posts (BIPs)
ICID00035420,2019-09-02,Pathogenic Micro-Organisms,Bivalve Molluscs & Products Thereof,Montenegro (ME),General Public
ICID00035421,2019-09-02,Poor or Insufficient Controls,Crustaceans & Products Thereof,China (CX),Border Inspection Posts (BIPs)
ICID00035422,2019-09-02,Poor or Insufficient Controls,Other Food Product / Mixed,United Kingdom (GB),General Public
ICID00035423,2019-09-02,Poor or Insufficient Controls,Fish & Fish Products,India (IN),Port Health Authority (PHA)
ICID00035425,2019-09-02,Pathogenic Micro-Organisms,Feed Materials,United Kingdom (GB),Industry
ICID00035426,2019-09-03,Poor or Insufficient Controls,Fish & Fish Products,Peru (PE),Local Authority
ICID00035427,2019-09-03,CHEMET,N/A,United Kingdom (GB),Fire Services
ICID00035428,2019-09-03,CHEMET,N/A,United Kingdom (GB),Met Office
ICID00035429,2019-09-02,Poor or Insufficient Controls,Other Food Product / Mixed,United Kingdom (GB),General Public
ICID00035431,2019-09-03,Poor or Insufficient Controls,Fish & Fish Products,China (CX),Border Inspection Posts (BIPs)
ICID00035432,2019-09-03,Pesticide Residues,Feed Materials,India (IN),EU Member States
ICID00035433,2019-09-03,Pathogenic Micro-Organisms,Cereals & Bakery Products,United Kingdom (GB),Local Authority
ICID00035435,2019-09-03,Chemical Contamination (other),Fish & Fish Products,United Kingdom (GB),National Food Crime Unit (NFCU)
ICID00035436,2019-09-04,CHEMET,N/A,United Kingdom (GB),Environment Agency (EA)
ICID00035437,2019-09-04,CHEMET,N/A,United Kingdom (GB),Environment Agency (EA)
ICID00035438,2019-09-04,Allergens,Soups / Broths / Sauces & Condiments,Morocco (MA),EU Member States
ICID00035439,2019-09-04,Heavy Metals,Meat & Meat Products (other than poultry),United Kingdom (GB),Department of Agriculture & Rural Development (DARD)
ICID00035440,2019-09-04,CHEMET,N/A,United Kingdom (GB),Environment Agency (EA)
ICID00035441,2019-09-04,Residues of Veterinary Medicinal Products,Meat & Meat Products (other than poultry),United Kingdom (GB),Veterinary Medicines Directorate
ICID00035442,2019-09-04,Allergens,Prepared Dishes & Snacks,United Kingdom (GB),FSA Northern Ireland (FSANI)
ICID00035443,2019-09-04,Allergens,Prepared Dishes & Snacks,United Kingdom (GB),FSA Northern Ireland (FSANI)
ICID00035444,2019-09-04,Poor or Insufficient Controls,Fish & Fish Products,South Korea (KR),Port Health Authority (PHA)
ICID00035445,2019-09-04,Pathogenic Micro-Organisms,Fish & Fish Products,India (IN),FSA Operations Group
ICID00035446,2019-09-04,Labelling Absent / Incomplete / Incorrect,Non-Alcoholic Beverages,United States (US),Local Authority
ICID00035447,2019-09-05,Clandestine Detection,Non-Alcoholic Beverages,Malta (ML),Home Office / Border Force
ICID00035448,2019-09-05,Migration,N/A,Lithuania (LT),EU Member States
ICID00035449,2019-09-05,Pathogenic Micro-Organisms,Meat & Meat Products (other than poultry),United Kingdom (GB),Industry
ICID00035450,2019-09-05,Allergens,Meat & Meat Products (other than poultry),United Kingdom (GB),Local Authority
ICID00035451,2019-09-05,Food Additives & Flavourings,Egg & Egg Products,Belgium (BE),Administrative Assistance & Cooperation System (AAC)
ICID00035452,2019-09-05,Pathogenic Micro-Organisms,Fish & Fish Products,United Kingdom (GB),Other
ICID00035453,2019-09-06,Allergens,Non-Alcoholic Beverages,United Kingdom (GB),INFOSAN
ICID00035454,2019-09-06,Foreign Bodies,Other Food Product / Mixed,United Kingdom (GB),General Public
ICID00035455,2019-09-06,Pathogenic Micro-Organisms,Meat & Meat Products (other than poultry),United Kingdom (GB),EU Member States
ICID00035456,2019-09-06,CHEMET,N/A,United Kingdom (GB),Met Office
ICID00035457,2019-09-06,Composition,Ices & Desserts,Ireland (IE),FSA Northern Ireland (FSANI)
ICID00035458,2019-09-08,CHEMET,N/A,United Kingdom (GB),Fire Services
ICID00035459,2019-09-09,Novel Food,Dietetic Foods / Food Supplements / Fortified Foods,United Kingdom (GB),European Commission (EC)
ICID00035460,2019-09-07,Clandestine Detection,Fruits & Vegetables,United Kingdom (GB),Home Office / Border Force
ICID00035461,2019-09-09,Poor or Insufficient Controls,Nuts / Nut Products / Seeds,India (IN),Border Inspection Posts (BIPs)
ICID00035462,2019-09-09,Novel Food,Cereals & Bakery Products,China (CX),Border Inspection Posts (BIPs)
ICID00035463,2019-09-09,Composition,Confectionery,United Kingdom (GB),Local Authority
ICID00035464,2019-09-09,Mycotoxins,Nuts / Nut Products / Seeds,China (CX),Border Inspection Posts (BIPs)
ICID00035465,2019-09-09,CHEMET,N/A,United Kingdom (GB),Fire Services
ICID00035466,2019-09-10,Pesticide Residues,Fruits & Vegetables,Uganda (UG),Border Inspection Posts (BIPs)
ICID00035467,2019-09-10,Foreign Bodies,Fruits & Vegetables,United Kingdom (GB),Local Authority
ICID00035468,2019-09-10,Mycotoxins,Herbs & Spices,Indonesia (ID),Port Health Authority (PHA)
ICID00035469,2019-09-10,Pesticide Residues,Fruits & Vegetables,Malaysia (MY),Port Health Authority (PHA)
ICID00035470,2019-09-10,Allergens,Soups / Broths / Sauces & Condiments,United Kingdom (GB),Industry
